sample_id,category,source,speaker,old_ok,old_effective_mode,old_score_available,old_display_score,old_practice_score,old_status,old_confidence,old_detail_allowed,old_alignment_mode,old_content_status,old_content_verified,old_japanese_content_plausible,old_asr_transcript,old_pronunciation,old_rhythm,old_fluency,old_pitch,old_policy_mode,old_user_messages,old_error,old_latency_sec,new_ok,new_effective_mode,new_score_available,new_display_score,new_practice_score,new_status,new_confidence,new_detail_allowed,new_alignment_mode,new_content_status,new_content_verified,new_japanese_content_plausible,new_asr_transcript,new_pronunciation,new_rhythm,new_fluency,new_pitch,new_policy_mode,new_user_messages,new_error,new_latency_sec,mode_change,notes
janon_native_i99,native,JANON,jpf1,True,reference_based,True,100,100,pass,high,True,cached_dtw,pass,True,,,100,100,100,,,今回の練習は大きな問題なく確認できました。,,0.240188,True,reference_based,True,100,100,pass,high,True,cached_dtw,pass,True,,,100,100,100,,,今回の練習は大きな問題なく確認できました。,,0.028839,reference_based -> reference_based,
learner_chf1_i5,learner,JANON,chf1,True,reference_based,True,75,75,practice_suggestion,high,False,cached_dtw,pass,True,,,60,,,,,今回は細かい判定よりも、全体的な話し方を中心に評価しています。 | 语速稍慢，但仍然可以理解。,,0.379321,True,reference_based,True,75,75,practice_suggestion,high,False,cached_dtw,pass,True,,,60,89,100,,,今回は細かい判定よりも、全体的な話し方を中心に評価しています。 | 语速稍慢，但仍然可以理解。,,0.292304,reference_based -> reference_based,Japanese fixed-reading by an L1-Mandarin learner; not a non-Japanese control
learner_chf1_i60,learner,JANON,chf1,True,reference_based,True,87,87,practice_suggestion,high,False,cached_dtw,pass,True,,,78,,,,,今回は細かい判定よりも、全体的な話し方を中心に評価しています。 | 语速稍慢，但仍然可以理解。,,0.089075,True,reference_based,True,87,87,practice_suggestion,high,False,cached_dtw,pass,True,,,78,90,100,,,今回は細かい判定よりも、全体的な話し方を中心に評価しています。 | 语速稍慢，但仍然可以理解。,,0.348616,reference_based -> reference_based,Japanese fixed-reading by an L1-Mandarin learner; not a non-Japanese control
learner_chf1_i63,learner,JANON,chf1,True,reference_based,True,82,82,pass,high,True,cached_dtw,pass,True,,,72,96,90,,,语速稍慢，但仍然可以理解。,,0.316293,True,reference_based,True,82,82,pass,high,True,cached_dtw,pass,True,,,72,96,90,,,语速稍慢，但仍然可以理解。,,0.204465,reference_based -> reference_based,Japanese fixed-reading by an L1-Mandarin learner; not a non-Japanese control
learner_chf1_i74,learner,JANON,chf1,True,reference_based,True,92,92,pass,high,True,cached_dtw,pass,True,,,83,100,100,,,今回の練習は大きな問題なく確認できました。,,0.325763,True,reference_based,True,92,92,pass,high,True,cached_dtw,pass,True,,,83,100,100,,,今回の練習は大きな問題なく確認できました。,,0.34969,reference_based -> reference_based,Japanese fixed-reading by an L1-Mandarin learner; not a non-Japanese control
learner_chf1_i77,learner,JANON,chf1,True,reference_based,True,97,97,practice_suggestion,high,False,cached_dtw,pass,True,,,93,,,,,今回は細かい判定よりも、全体的な話し方を中心に評価しています。 | 语速稍慢，但仍然可以理解。,,0.239158,True,reference_based,True,97,97,practice_suggestion,high,False,cached_dtw,pass,True,,,93,92,100,,,今回は細かい判定よりも、全体的な話し方を中心に評価しています。 | 语速稍慢，但仍然可以理解。,,0.261381,reference_based -> reference_based,Japanese fixed-reading by an L1-Mandarin learner; not a non-Japanese control
learner_chf1_i98,learner,JANON,chf1,True,reference_based,True,92,92,pass,high,True,cached_dtw,pass,True,,,85,94,100,,,语速稍慢，但仍然可以理解。,,0.645295,True,reference_based,True,92,92,pass,high,True,cached_dtw,pass,True,,,85,94,100,,,语速稍慢，但仍然可以理解。,,0.561859,reference_based -> reference_based,Japanese fixed-reading by an L1-Mandarin learner; not a non-Japanese control
learner_chf1_i99,learner,JANON,chf1,True,reference_based,True,100,100,pass,high,True,cached_dtw,pass,True,,,97,100,100,,,今回の練習は大きな問題なく確認できました。,,0.196418,True,reference_based,True,100,100,pass,high,True,cached_dtw,pass,True,,,97,100,100,,,今回の練習は大きな問題なく確認できました。,,0.058857,reference_based -> reference_based,Japanese fixed-reading by an L1-Mandarin learner; not a non-Japanese control
learner_enf1_i5,learner,JANON,enf1,True,reference_based,True,76,76,practice_suggestion,high,False,cached_dtw,pass,True,,,60,,,,,今回は細かい判定よりも、全体的な話し方を中心に評価しています。 | 语速稍慢，但仍然可以理解。,,0.332281,True,reference_based,True,76,76,practice_suggestion,high,False,cached_dtw,pass,True,,,60,92,100,,,今回は細かい判定よりも、全体的な話し方を中心に評価しています。 | 语速稍慢，但仍然可以理解。,,0.311048,reference_based -> reference_based,Japanese fixed-reading by an L1-English learner; not a non-Japanese control
learner_enf1_i60,learner,JANON,enf1,True,reference_based,True,98,98,practice_suggestion,high,False,cached_dtw,pass,True,,,94,,,,,今回は細かい判定よりも、全体的な話し方を中心に評価しています。 | 语速稍慢，但仍然可以理解。,,0.088067,True,reference_based,True,98,98,practice_suggestion,high,False,cached_dtw,pass,True,,,94,94,100,,,今回は細かい判定よりも、全体的な話し方を中心に評価しています。 | 语速稍慢，但仍然可以理解。,,0.295967,reference_based -> reference_based,Japanese fixed-reading by an L1-English learner; not a non-Japanese control
learner_enf1_i63,learner,JANON,enf1,True,reference_based,True,84,84,pass,medium,True,cached_dtw,pass,True,,,73,98,92,,,今回の練習は大きな問題なく確認できました。,,0.386103,True,reference_based,True,84,84,pass,medium,True,cached_dtw,pass,True,,,73,98,92,,,今回の練習は大きな問題なく確認できました。,,0.277773,reference_based -> reference_based,Japanese fixed-reading by an L1-English learner; not a non-Japanese control
learner_enf1_i74,learner,JANON,enf1,True,reference_based,True,99,99,pass,high,True,cached_dtw,pass,True,,,93,100,100,,,今回の練習は大きな問題なく確認できました。,,0.304535,True,reference_based,True,99,99,pass,high,True,cached_dtw,pass,True,,,93,100,100,,,今回の練習は大きな問題なく確認できました。,,0.271507,reference_based -> reference_based,Japanese fixed-reading by an L1-English learner; not a non-Japanese control
learner_enf1_i77,learner,JANON,enf1,True,reference_based,True,86,86,practice_suggestion,high,False,cached_dtw,pass,True,,,76,,,,,今回は細かい判定よりも、全体的な話し方を中心に評価しています。 | 语速稍慢，但仍然可以理解。,,0.315717,True,reference_based,True,86,86,practice_suggestion,high,False,cached_dtw,pass,True,,,76,92,100,,,今回は細かい判定よりも、全体的な話し方を中心に評価しています。 | 语速稍慢，但仍然可以理解。,,0.284231,reference_based -> reference_based,Japanese fixed-reading by an L1-English learner; not a non-Japanese control
learner_enf1_i98,learner,JANON,enf1,True,reference_based,True,82,82,pass,high,True,cached_dtw,pass,True,,,70,92,100,,,语速稍慢，但仍然可以理解。,,0.337967,True,reference_based,True,82,82,pass,high,True,cached_dtw,pass,True,,,70,92,100,,,语速稍慢，但仍然可以理解。,,0.025154,reference_based -> reference_based,Japanese fixed-reading by an L1-English learner; not a non-Japanese control
learner_enf1_i99,learner,JANON,enf1,True,reference_based,True,97,97,pass,high,True,cached_dtw,pass,True,,,90,100,100,,,今回の練習は大きな問題なく確認できました。,,0.273601,True,reference_based,True,97,97,pass,high,True,cached_dtw,pass,True,,,90,100,100,,,今回の練習は大きな問題なく確認できました。,,0.355594,reference_based -> reference_based,Japanese fixed-reading by an L1-English learner; not a non-Japanese control
mismatch_jvs_s002_as_ramen,general_fallback,JVS_parallel100,jvs002,True,reference_mismatch_general_japanese,True,84,84,practice_suggestion,high,False,none,general_japanese,True,,ニューイングランド風は牛乳をベースとした白いクリームスープであり、ボストンクラムチャウダーとも呼ばれる。,88,,,,,今回は細かい判定よりも、全体的な話し方を中心に評価しています。 | 目標文とは違う内容でしたが、日本語として全体の話し方を評価しました。,,4.276185,True,reference_mismatch_general_japanese,True,84,84,practice_suggestion,high,False,none,general_japanese,False,True,ニューイングランド風は牛乳をベースとした白いクリームスープであり、ボストンクラムチャウダーとも呼ばれる。,88,71,71,,,今回は細かい判定よりも、全体的な話し方を中心に評価しています。 | 目標文とは違う内容でしたが、日本語として全体の話し方を評価しました。,,4.632006,reference_mismatch_general_japanese -> reference_mismatch_general_japanese,Large real target mismatch intended to force ASR and the broad Japanese fallback
mismatch_jvs_s002_as_s001,general_fallback,JVS_parallel100,jvs002,True,reference_based,True,89,89,practice_suggestion,medium,False,cached_dtw_fallback_equal,pass,True,,,80,,,,,細かい拍ごとの判定は不安定ですが、全体スコアは表示します。 | 今回は細かい判定よりも、全体的な話し方を中心に評価しています。,,0.221765,True,reference_based,True,89,89,practice_suggestion,medium,False,cached_dtw_fallback_equal,pass,True,,,80,99,96,,,細かい拍ごとの判定は不安定ですが、全体スコアは表示します。 | 今回は細かい判定よりも、全体的な話し方を中心に評価しています。,,0.498575,reference_based -> reference_based,Real Japanese sentence B evaluated against target A; exercises ASR fallback
moderate_noise_jvs005_s001,moderate_recording,JVS_controlled_edit,jvs005,True,reference_based,True,89,89,pass,high,True,cached_dtw,pass,True,,,80,99,95,,,今回の練習は大きな問題なく確認できました。,,0.52562,True,reference_based,True,89,89,pass,high,True,cached_dtw,pass,True,,,80,99,95,,,今回の練習は大きな問題なく確認できました。,,0.378359,reference_based -> reference_based,Existing 15 dB mild-noise edit of real native speech
native_jvs001_s001,native,JVS_parallel100,jvs001,True,reference_based,True,98,98,pass,high,True,cached_dtw,pass,True,,,96,98,92,,,今回の練習は大きな問題なく確認できました。,,2.174827,True,reference_based,True,98,98,pass,high,True,cached_dtw,pass,True,,,96,98,92,,,今回の練習は大きな問題なく確認できました。,,2.095147,reference_based -> reference_based,
native_jvs001_s002,native,JVS_parallel100,jvs001,True,reference_based,True,100,100,pass,high,True,cached_dtw,pass,True,,,97,99,96,,,今回の練習は大きな問題なく確認できました。,,0.569415,True,reference_based,True,100,100,pass,high,True,cached_dtw,pass,True,,,97,99,96,,,今回の練習は大きな問題なく確認できました。,,0.612477,reference_based -> reference_based,
native_jvs002_s001,native,JVS_parallel100,jvs002,True,reference_based,True,90,90,practice_suggestion,medium,False,cached_dtw_fallback_equal,pass,True,,,80,,,,,細かい拍ごとの判定は不安定ですが、全体スコアは表示します。 | 今回は細かい判定よりも、全体的な話し方を中心に評価しています。,,0.61573,True,reference_based,True,90,90,practice_suggestion,medium,False,cached_dtw_fallback_equal,pass,True,,,80,100,100,,,細かい拍ごとの判定は不安定ですが、全体スコアは表示します。 | 今回は細かい判定よりも、全体的な話し方を中心に評価しています。,,0.547492,reference_based -> reference_based,
native_jvs002_s002,native,JVS_parallel100,jvs002,True,reference_based,True,92,92,pass,high,True,cached_dtw,pass,True,,,84,99,96,,,今回の練習は大きな問題なく確認できました。,,0.464762,True,reference_based,True,92,92,pass,high,True,cached_dtw,pass,True,,,84,99,96,,,今回の練習は大きな問題なく確認できました。,,0.547644,reference_based -> reference_based,
native_jvs002_s005,native,JVS_parallel100,jvs002,True,reference_based,True,86,86,pass,high,True,cached_dtw,pass,True,,,84,93,76,,,检测到 6 次较长停顿，流畅度会下降。,,0.601227,True,reference_based,True,86,86,pass,high,True,cached_dtw,pass,True,,,84,93,76,,,检测到 6 次较长停顿，流畅度会下降。,,0.482228,reference_based -> reference_based,
native_jvs003_s001,native,JVS_parallel100,jvs003,True,reference_based,True,84,84,pass,high,True,cached_dtw,pass,True,,,77,96,86,,,今回の練習は大きな問題なく確認できました。,,0.565926,True,reference_based,True,84,84,pass,high,True,cached_dtw,pass,True,,,77,96,86,,,今回の練習は大きな問題なく確認できました。,,0.393589,reference_based -> reference_based,
native_jvs003_s003,native,JVS_parallel100,jvs003,True,reference_based,True,95,95,pass,high,True,cached_dtw,pass,True,,,87,100,100,,,今回の練習は大きな問題なく確認できました。,,0.320409,True,reference_based,True,95,95,pass,high,True,cached_dtw,pass,True,,,87,100,100,,,今回の練習は大きな問題なく確認できました。,,0.37319,reference_based -> reference_based,
native_jvs004_s001,native,JVS_parallel100,jvs004,True,reference_based,True,88,88,practice_suggestion,medium,False,cached_dtw_fallback_equal,pass,True,,,80,,,,,細かい拍ごとの判定は不安定ですが、全体スコアは表示します。 | 今回は細かい判定よりも、全体的な話し方を中心に評価しています。,,0.50742,True,reference_based,True,88,88,practice_suggestion,medium,False,cached_dtw_fallback_equal,pass,True,,,80,97,91,,,細かい拍ごとの判定は不安定ですが、全体スコアは表示します。 | 今回は細かい判定よりも、全体的な話し方を中心に評価しています。,,0.437021,reference_based -> reference_based,
native_jvs004_s004,native,JVS_parallel100,jvs004,True,reference_based,True,93,93,pass,high,True,cached_dtw,pass,True,,,85,100,99,,,今回の練習は大きな問題なく確認できました。,,0.495242,True,reference_based,True,93,93,pass,high,True,cached_dtw,pass,True,,,85,100,99,,,今回の練習は大きな問題なく確認できました。,,0.568083,reference_based -> reference_based,
native_jvs005_s005,native,JVS_parallel100,jvs005,True,reference_based,True,85,85,practice_suggestion,medium,False,cached_dtw_fallback_equal,pass,True,,,80,,,,,細かい拍ごとの判定は不安定ですが、全体スコアは表示します。 | 今回は細かい判定よりも、全体的な話し方を中心に評価しています。,,0.633287,True,reference_based,True,85,85,practice_suggestion,medium,False,cached_dtw_fallback_equal,pass,True,,,80,92,87,,,細かい拍ごとの判定は不安定ですが、全体スコアは表示します。 | 今回は細かい判定よりも、全体的な話し方を中心に評価しています。,,0.45614,reference_based -> reference_based,
partial_local_delete_jvs005_s001,partial_target,JVS_controlled_edit,jvs005,True,reference_based,True,90,90,practice_suggestion,medium,False,cached_dtw_fallback_equal,pass,True,,,80,,,,,細かい拍ごとの判定は不安定ですが、全体スコアは表示します。 | 今回は細かい判定よりも、全体的な話し方を中心に評価しています。,,0.245158,True,reference_based,True,90,90,practice_suggestion,medium,False,cached_dtw_fallback_equal,pass,True,,,80,99,100,,,細かい拍ごとの判定は不安定ですが、全体スコアは表示します。 | 今回は細かい判定よりも、全体的な話し方を中心に評価しています。,,0.360252,reference_based -> reference_based,Synthetic local delete-like edit of a real native recording; not a learner error claim
pause_insert_jvs005_s001,partial_target,JVS_controlled_edit,jvs005,True,reference_based,True,85,85,practice_suggestion,medium,False,cached_dtw_fallback_equal,pass,True,,,80,,,,,細かい拍ごとの判定は不安定ですが、全体スコアは表示します。 | 今回は細かい判定よりも、全体的な話し方を中心に評価しています。,,0.33605,True,reference_based,True,85,85,practice_suggestion,medium,False,cached_dtw_fallback_equal,pass,True,,,80,95,81,,,細かい拍ごとの判定は不安定ですが、全体スコアは表示します。 | 今回は細かい判定よりも、全体的な話し方を中心に評価しています。,,0.553925,reference_based -> reference_based,Existing long-pause edit of real native speech
