sample_id,wav_path,source,speaker,expected_category,target_text,cache_path,mode,transcript,user_confirmed_text,reference_relation,wav_sha256,runnable,notes
janon_native_i74,/Users/ryukayuiii/Documents/jp_speech_eval_project/JANON/audio/jpf1/isolated/jpf1_i74.wav,JANON,jpf1,native,ばっちり,/private/tmp/jp_speech_eval_c_end_v2/ver1.3/outputs/c_end_v2_acceptance/caches/janon/i74/sentence,reference,,,self,1ae8f27972bc8e74c2bbd419faaf8582af53809458b5c8189e57c308caca1964,true,
learner_chf1_i74,/Users/ryukayuiii/Documents/jp_speech_eval_project/JANON/audio/chf1/isolated/chf1_i74.wav,JANON,chf1,learner,ばっちり,/private/tmp/jp_speech_eval_c_end_v2/ver1.3/outputs/c_end_v2_acceptance/caches/janon/i74/sentence,reference,,,different_speaker,0ca0f481a57a267228f6fb89c14145b1b77d39349a657f265653670b25c81eb6,true,Japanese fixed-reading by an L1-Mandarin learner; not a non-Japanese control
learner_enf1_i74,/Users/ryukayuiii/Documents/jp_speech_eval_project/JANON/audio/enf1/isolated/enf1_i74.wav,JANON,enf1,learner,ばっちり,/private/tmp/jp_speech_eval_c_end_v2/ver1.3/outputs/c_end_v2_acceptance/caches/janon/i74/sentence,reference,,,different_speaker,ccd44a81706eac5930526bce13c158998ff2facecc2a612de4ed4da522aaf47e,true,Japanese fixed-reading by an L1-English learner; not a non-Japanese control
janon_native_i98,/Users/ryukayuiii/Documents/jp_speech_eval_project/JANON/audio/jpf1/isolated/jpf1_i98.wav,JANON,jpf1,native,さっさと,/private/tmp/jp_speech_eval_c_end_v2/ver1.3/outputs/c_end_v2_acceptance/caches/janon/i98/sentence,reference,,,self,3981b294c322437ae9e658fd2cfa197cd1713758007f58232e3f831a8ec49a0d,true,
learner_chf1_i98,/Users/ryukayuiii/Documents/jp_speech_eval_project/JANON/audio/chf1/isolated/chf1_i98.wav,JANON,chf1,learner,さっさと,/private/tmp/jp_speech_eval_c_end_v2/ver1.3/outputs/c_end_v2_acceptance/caches/janon/i98/sentence,reference,,,different_speaker,a2d2cace56c0c0572da708cc9211f9a556e732ff6ae0095c8a8b5d38ee95f46a,true,Japanese fixed-reading by an L1-Mandarin learner; not a non-Japanese control
learner_enf1_i98,/Users/ryukayuiii/Documents/jp_speech_eval_project/JANON/audio/enf1/isolated/enf1_i98.wav,JANON,enf1,learner,さっさと,/private/tmp/jp_speech_eval_c_end_v2/ver1.3/outputs/c_end_v2_acceptance/caches/janon/i98/sentence,reference,,,different_speaker,0ed6213fdd34e39fdcfb9eb36c934df306281dcc3a8574bcf1e7daef4479e0d1,true,Japanese fixed-reading by an L1-English learner; not a non-Japanese control
janon_native_i99,/Users/ryukayuiii/Documents/jp_speech_eval_project/JANON/audio/jpf1/isolated/jpf1_i99.wav,JANON,jpf1,native,がっしり,/private/tmp/jp_speech_eval_c_end_v2/ver1.3/outputs/c_end_v2_acceptance/caches/janon/i99/sentence,reference,,,self,d80ccba7fce0afc428f4d2404e784f466012b47a544a3eb40077f78dc483b3f2,true,
learner_chf1_i99,/Users/ryukayuiii/Documents/jp_speech_eval_project/JANON/audio/chf1/isolated/chf1_i99.wav,JANON,chf1,learner,がっしり,/private/tmp/jp_speech_eval_c_end_v2/ver1.3/outputs/c_end_v2_acceptance/caches/janon/i99/sentence,reference,,,different_speaker,14aa6be7459974ac6022c07f229a02ac766de85c415f5e4bfde72fc4aa52b700,true,Japanese fixed-reading by an L1-Mandarin learner; not a non-Japanese control
learner_enf1_i99,/Users/ryukayuiii/Documents/jp_speech_eval_project/JANON/audio/enf1/isolated/enf1_i99.wav,JANON,enf1,learner,がっしり,/private/tmp/jp_speech_eval_c_end_v2/ver1.3/outputs/c_end_v2_acceptance/caches/janon/i99/sentence,reference,,,different_speaker,595d959e7dbb26c7ce16a2cb100dbc0ea5794d265f313104b74d8a2a55b226ee,true,Japanese fixed-reading by an L1-English learner; not a non-Japanese control
janon_native_i63,/Users/ryukayuiii/Documents/jp_speech_eval_project/JANON/audio/jpf1/isolated/jpf1_i63.wav,JANON,jpf1,native,うっとうしい,/private/tmp/jp_speech_eval_c_end_v2/ver1.3/outputs/c_end_v2_acceptance/caches/janon/i63/sentence,reference,,,self,4f964f0cad38df396ee96a31ab20be2ecb84cb7e867c1a355a208a1340fb70fc,true,
learner_chf1_i63,/Users/ryukayuiii/Documents/jp_speech_eval_project/JANON/audio/chf1/isolated/chf1_i63.wav,JANON,chf1,learner,うっとうしい,/private/tmp/jp_speech_eval_c_end_v2/ver1.3/outputs/c_end_v2_acceptance/caches/janon/i63/sentence,reference,,,different_speaker,26cc7f8e325dbda0e1e60ebf2f02de53a263f2d5472e2b0a6350ba7ba7b55368,true,Japanese fixed-reading by an L1-Mandarin learner; not a non-Japanese control
learner_enf1_i63,/Users/ryukayuiii/Documents/jp_speech_eval_project/JANON/audio/enf1/isolated/enf1_i63.wav,JANON,enf1,learner,うっとうしい,/private/tmp/jp_speech_eval_c_end_v2/ver1.3/outputs/c_end_v2_acceptance/caches/janon/i63/sentence,reference,,,different_speaker,aaeff485df4101d87e16913ebb86c4ccd912e9faba4738bcd3c729cbe34bb9c9,true,Japanese fixed-reading by an L1-English learner; not a non-Japanese control
janon_native_i77,/Users/ryukayuiii/Documents/jp_speech_eval_project/JANON/audio/jpf1/isolated/jpf1_i77.wav,JANON,jpf1,native,オイル,/private/tmp/jp_speech_eval_c_end_v2/ver1.3/outputs/c_end_v2_acceptance/caches/janon/i77/sentence,reference,,,self,86697d7d9e1f85f2ada3ede831b62abf45988a6d4a4d50dfdf165ffb98671e53,true,
learner_chf1_i77,/Users/ryukayuiii/Documents/jp_speech_eval_project/JANON/audio/chf1/isolated/chf1_i77.wav,JANON,chf1,learner,オイル,/private/tmp/jp_speech_eval_c_end_v2/ver1.3/outputs/c_end_v2_acceptance/caches/janon/i77/sentence,reference,,,different_speaker,ea10990ed6f1360a866779dfe88cf196068e02a5ed29eb1cca70978a7d9e8fb2,true,Japanese fixed-reading by an L1-Mandarin learner; not a non-Japanese control
learner_enf1_i77,/Users/ryukayuiii/Documents/jp_speech_eval_project/JANON/audio/enf1/isolated/enf1_i77.wav,JANON,enf1,learner,オイル,/private/tmp/jp_speech_eval_c_end_v2/ver1.3/outputs/c_end_v2_acceptance/caches/janon/i77/sentence,reference,,,different_speaker,9237544ecf168934ef906fa0958c0d48a9fad223490be4c1baa8abe429452b65,true,Japanese fixed-reading by an L1-English learner; not a non-Japanese control
janon_native_i5,/Users/ryukayuiii/Documents/jp_speech_eval_project/JANON/audio/jpf1/isolated/jpf1_i5.wav,JANON,jpf1,native,バグ,/private/tmp/jp_speech_eval_c_end_v2/ver1.3/outputs/c_end_v2_acceptance/caches/janon/i5/sentence,reference,,,self,938f0b97d5eef89d0d4bf426f1897e907a70397982cb9627cf3383176e032257,true,
learner_chf1_i5,/Users/ryukayuiii/Documents/jp_speech_eval_project/JANON/audio/chf1/isolated/chf1_i5.wav,JANON,chf1,learner,バグ,/private/tmp/jp_speech_eval_c_end_v2/ver1.3/outputs/c_end_v2_acceptance/caches/janon/i5/sentence,reference,,,different_speaker,92bc152549fa03487846e2f3bada06e49e54efd70d0fc7fb1ed6fff0d40fba72,true,Japanese fixed-reading by an L1-Mandarin learner; not a non-Japanese control
learner_enf1_i5,/Users/ryukayuiii/Documents/jp_speech_eval_project/JANON/audio/enf1/isolated/enf1_i5.wav,JANON,enf1,learner,バグ,/private/tmp/jp_speech_eval_c_end_v2/ver1.3/outputs/c_end_v2_acceptance/caches/janon/i5/sentence,reference,,,different_speaker,58da142ad5f0e6a38eb4767f5458a013bbc94271ec4e7b7f19427af0964b8af4,true,Japanese fixed-reading by an L1-English learner; not a non-Japanese control
janon_native_i60,/Users/ryukayuiii/Documents/jp_speech_eval_project/JANON/audio/jpf1/isolated/jpf1_i60.wav,JANON,jpf1,native,酸味,/private/tmp/jp_speech_eval_c_end_v2/ver1.3/outputs/c_end_v2_acceptance/caches/janon/i60/sentence,reference,,,self,997830609f5b1ad493fc6f7e4e05f3b9697b3efcd590caebcf29b5e81464f870,true,
learner_chf1_i60,/Users/ryukayuiii/Documents/jp_speech_eval_project/JANON/audio/chf1/isolated/chf1_i60.wav,JANON,chf1,learner,酸味,/private/tmp/jp_speech_eval_c_end_v2/ver1.3/outputs/c_end_v2_acceptance/caches/janon/i60/sentence,reference,,,different_speaker,f3d6f89ace220ad11a0e61b180d5bebd0b5997aa42671ff3a6865020aad1e05a,true,Japanese fixed-reading by an L1-Mandarin learner; not a non-Japanese control
learner_enf1_i60,/Users/ryukayuiii/Documents/jp_speech_eval_project/JANON/audio/enf1/isolated/enf1_i60.wav,JANON,enf1,learner,酸味,/private/tmp/jp_speech_eval_c_end_v2/ver1.3/outputs/c_end_v2_acceptance/caches/janon/i60/sentence,reference,,,different_speaker,db599c08817e9fe6cf55567bce5a9c7dd4b5e623656064145d5354c775be72c8,true,Japanese fixed-reading by an L1-English learner; not a non-Japanese control
mismatch_jvs_s002_as_s001,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs002/parallel100/wav24kHz16bit/VOICEACTRESS100_002.wav,JVS_parallel100,jvs002,general_fallback,また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/reports/tier0_batch3_reference_cache/VOICEACTRESS100_001/ref_jvs001_3471c4df0e,reference,,,different_speaker,d38686b3138f9b2b8eec4b7f3072ae63249f49d146885e79ea6ed8f7b166a0bd,true,Real Japanese sentence B evaluated against target A; exercises ASR fallback
mismatch_jvs_s002_as_ramen,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs002/parallel100/wav24kHz16bit/VOICEACTRESS100_002.wav,JVS_parallel100,jvs002,general_fallback,ラーメンをください,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/cache/production_references/ramen_kudasai/v1/sentence,reference,,,different_speaker,d38686b3138f9b2b8eec4b7f3072ae63249f49d146885e79ea6ed8f7b166a0bd,true,Large real target mismatch intended to force ASR and the broad Japanese fallback
broad_jvs002_s001,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs002/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav,JVS_parallel100,jvs002,broad_mode,また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。,,transcript_assisted_light,また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。,,different_speaker,40298305cd0b063143ad5e5a7623f2a49d3c846aa6f535adfe682c19b7abbffd,true,"Same WAV as native_jvs002_s001, evaluated without fixed-reference claims"
broad_jvs002_s002,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs002/parallel100/wav24kHz16bit/VOICEACTRESS100_002.wav,JVS_parallel100,jvs002,broad_mode,ニューイングランド風は、牛乳をベースとした、白いクリームスープであり、ボストンクラムチャウダーとも呼ばれる。,,transcript_assisted_light,ニューイングランド風は、牛乳をベースとした、白いクリームスープであり、ボストンクラムチャウダーとも呼ばれる。,,different_speaker,d38686b3138f9b2b8eec4b7f3072ae63249f49d146885e79ea6ed8f7b166a0bd,true,"Same WAV as the forced ramen mismatch, directly evaluated in broad mode"
partial_local_delete_jvs005_s001,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/reports/tier0_batch3_audio/B2_rhythm/jvs005_VOICEACTRESS100_001_ref-jvs001_local_mora_delete_like.wav,JVS_controlled_edit,jvs005,partial_target,また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/reports/tier0_batch3_reference_cache/VOICEACTRESS100_001/ref_jvs001_3471c4df0e,reference,,,different_speaker,b97789e0a9dec718bdc5f8fb871b54ef042bb7c62df19fa63c146965971e00a7,true,Synthetic local delete-like edit of a real native recording; not a learner error claim
moderate_noise_jvs005_s001,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/reports/tier0_batch3_audio/C_channel/jvs005_VOICEACTRESS100_001_ref-jvs001_mild_noise_15db.wav,JVS_controlled_edit,jvs005,moderate_recording,また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/reports/tier0_batch3_reference_cache/VOICEACTRESS100_001/ref_jvs001_3471c4df0e,reference,,,different_speaker,c8d6fb6df3db326420b67ce19db086f14156eba943604df81ad3f6eede0fc72e,true,Existing 15 dB mild-noise edit of real native speech
pause_insert_jvs005_s001,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/reports/tier0_batch3_audio/B3_fluency/jvs005_VOICEACTRESS100_001_ref-jvs001_long_pause_insert.wav,JVS_controlled_edit,jvs005,partial_target,また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/reports/tier0_batch3_reference_cache/VOICEACTRESS100_001/ref_jvs001_3471c4df0e,reference,,,different_speaker,115bc278c917a199740284c0881e373df658663127ee446572d96a69af6cc75f,true,Existing long-pause edit of real native speech
demo_ramen_fixed,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/data/ramen.wav,demo_recording,unknown,weak_reference,ラーメンをください,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/cache/production_references/ramen_kudasai/v1/sentence,reference,,,different_speaker,4f0aa470a356ecb63ac1f3cce56b09cd955f6e3ab023601e7be066d2d42655bc,true,Real existing demo recording; production cache is a manually reviewed synthetic reference
demo_ramen_confirmed_weak,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/data/ramen.wav,demo_recording,unknown,weak_reference,ラーメンをください,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/cache/production_references/ramen_kudasai/v1/sentence,asr_confirmed_weak_reference,,ラーメンをください,different_speaker,4f0aa470a356ecb63ac1f3cce56b09cd955f6e3ab023601e7be066d2d42655bc,true,Real existing demo recording through the user-confirmed weak-reference contract
