dataset,case_name,utterance_id,target_text,speaker,mora_count,weak_prosody_naturalness_score,weak_available,weak_unavailable_reason,f0_coverage,voiced_mora_count,valid_f0_mora_count,utterance_f0_range_log,local_pitch_movement,transition_smoothness,flatness_penalty,strict_openjtalk_prosody_score,score_type,strict_reference_available,tone_score_in_core_four,notes,native_language,weak_overall_practice_score,alignment_mode
JVS,low_f0_coverage_control,VOICEACTRESS100_008,シャンチーの専業プロは、チームから支払われる給料と、対局費を、主な収入としている。,jvs002,46,,False,insufficient_valid_mora_f0,0.0435,2,2,,,,,,weak_reference_native_likeness,False,no,same content/timing with insufficient F0 coverage,,,
JVS,jvs_native,VOICEACTRESS100_009,また禰寝氏は、中山王の治める、琉球王国との交易にも参加した。,jvs002,39,94,True,,1.0,39,39,0.6004,0.6348,0.7752,0.0,71,weak_reference_native_likeness,False,no,native audio scored without strict reference contour,,,
JVS,flat_pitch_control,VOICEACTRESS100_009,また禰寝氏は、中山王の治める、琉球王国との交易にも参加した。,jvs002,39,9,True,,1.0,39,39,0.0,0.0,1.0,0.45,,weak_reference_native_likeness,False,no,same content/timing with flattened F0,,,
JVS,shuffled_random_pitch_control,VOICEACTRESS100_009,また禰寝氏は、中山王の治める、琉球王国との交易にも参加した。,jvs002,39,47,True,,1.0,39,39,0.6004,1.1728,0.2663,0.0,,weak_reference_native_likeness,False,no,same content/timing with shuffled F0,,,
JVS,wrong_accent_drop_control,VOICEACTRESS100_009,また禰寝氏は、中山王の治める、琉球王国との交易にも参加した。,jvs002,39,94,True,,1.0,39,39,0.5974,0.6097,0.7849,0.0,,weak_reference_native_likeness,False,no,rough wrong-drop control; known limitation if weakly separated,,,
JVS,low_f0_coverage_control,VOICEACTRESS100_009,また禰寝氏は、中山王の治める、琉球王国との交易にも参加した。,jvs002,39,,False,insufficient_valid_mora_f0,0.0513,2,2,,,,,,weak_reference_native_likeness,False,no,same content/timing with insufficient F0 coverage,,,
JVS,jvs_native,VOICEACTRESS100_010,スマートフォンから、フィーチャーフォンまで、マルチデバイスに対応。,jvs002,28,95,True,,1.0,28,28,0.5432,0.5752,0.7998,0.0,70,weak_reference_native_likeness,False,no,native audio scored without strict reference contour,,,
JVS,flat_pitch_control,VOICEACTRESS100_010,スマートフォンから、フィーチャーフォンまで、マルチデバイスに対応。,jvs002,28,9,True,,1.0,28,28,0.0,0.0,1.0,0.45,,weak_reference_native_likeness,False,no,same content/timing with flattened F0,,,
JVS,shuffled_random_pitch_control,VOICEACTRESS100_010,スマートフォンから、フィーチャーフォンまで、マルチデバイスに対応。,jvs002,28,50,True,,1.0,28,28,0.5432,1.1576,0.3964,0.0,,weak_reference_native_likeness,False,no,same content/timing with shuffled F0,,,
JVS,wrong_accent_drop_control,VOICEACTRESS100_010,スマートフォンから、フィーチャーフォンまで、マルチデバイスに対応。,jvs002,28,93,True,,1.0,28,28,0.5711,0.5997,0.7482,0.0,,weak_reference_native_likeness,False,no,rough wrong-drop control; known limitation if weakly separated,,,
JVS,low_f0_coverage_control,VOICEACTRESS100_010,スマートフォンから、フィーチャーフォンまで、マルチデバイスに対応。,jvs002,28,,False,insufficient_valid_mora_f0,0.0714,2,2,,,,,,weak_reference_native_likeness,False,no,same content/timing with insufficient F0 coverage,,,
JVS,jvs_native,VOICEACTRESS100_011,軽妙洒脱なナレーションから、情緒感溢れる語りまで、幅広い表現力を持つ。,jvs002,43,94,True,,0.9767,42,42,0.4939,0.6266,0.7736,0.0,74,weak_reference_native_likeness,False,no,native audio scored without strict reference contour,,,
JVS,flat_pitch_control,VOICEACTRESS100_011,軽妙洒脱なナレーションから、情緒感溢れる語りまで、幅広い表現力を持つ。,jvs002,43,9,True,,0.9767,42,42,0.0,0.0,1.0,0.45,,weak_reference_native_likeness,False,no,same content/timing with flattened F0,,,
JVS,shuffled_random_pitch_control,VOICEACTRESS100_011,軽妙洒脱なナレーションから、情緒感溢れる語りまで、幅広い表現力を持つ。,jvs002,43,47,True,,0.9767,42,42,0.4939,1.187,0.288,0.0,,weak_reference_native_likeness,False,no,same content/timing with shuffled F0,,,
JVS,wrong_accent_drop_control,VOICEACTRESS100_011,軽妙洒脱なナレーションから、情緒感溢れる語りまで、幅広い表現力を持つ。,jvs002,43,83,True,,1.0,43,43,0.4944,0.7608,0.667,0.0,,weak_reference_native_likeness,False,no,rough wrong-drop control; known limitation if weakly separated,,,
JVS,low_f0_coverage_control,VOICEACTRESS100_011,軽妙洒脱なナレーションから、情緒感溢れる語りまで、幅広い表現力を持つ。,jvs002,43,,False,insufficient_valid_mora_f0,0.0465,2,2,,,,,,weak_reference_native_likeness,False,no,same content/timing with insufficient F0 coverage,,,
JVS,jvs_native,VOICEACTRESS100_012,構造は、鋼製の単一アーチで、橋脚は、石積みである。,jvs002,31,93,True,,0.9677,30,30,0.31,0.7199,0.7657,0.0,78,weak_reference_native_likeness,False,no,native audio scored without strict reference contour,,,
JVS,flat_pitch_control,VOICEACTRESS100_012,構造は、鋼製の単一アーチで、橋脚は、石積みである。,jvs002,31,9,True,,0.9677,30,30,0.0,0.0,1.0,0.45,,weak_reference_native_likeness,False,no,same content/timing with flattened F0,,,
JVS,shuffled_random_pitch_control,VOICEACTRESS100_012,構造は、鋼製の単一アーチで、橋脚は、石積みである。,jvs002,31,46,True,,0.9677,30,30,0.31,1.208,0.2607,0.0,,weak_reference_native_likeness,False,no,same content/timing with shuffled F0,,,
JVS,wrong_accent_drop_control,VOICEACTRESS100_012,構造は、鋼製の単一アーチで、橋脚は、石積みである。,jvs002,31,93,True,,0.9677,30,30,0.3283,0.7427,0.744,0.0,,weak_reference_native_likeness,False,no,rough wrong-drop control; known limitation if weakly separated,,,
JVS,low_f0_coverage_control,VOICEACTRESS100_012,構造は、鋼製の単一アーチで、橋脚は、石積みである。,jvs002,31,,False,insufficient_valid_mora_f0,0.0645,2,2,,,,,,weak_reference_native_likeness,False,no,same content/timing with insufficient F0 coverage,,,
JVS,jvs_native,VOICEACTRESS100_013,そこへ、オーナーが新しいシェフとして、腕利きのヒョヌクを招く。,jvs002,30,94,True,,0.9667,29,29,0.5569,0.61,0.791,0.0,67,weak_reference_native_likeness,False,no,native audio scored without strict reference contour,,,
JVS,flat_pitch_control,VOICEACTRESS100_013,そこへ、オーナーが新しいシェフとして、腕利きのヒョヌクを招く。,jvs002,30,9,True,,0.9667,29,29,0.0,0.0,1.0,0.45,,weak_reference_native_likeness,False,no,same content/timing with flattened F0,,,
JVS,shuffled_random_pitch_control,VOICEACTRESS100_013,そこへ、オーナーが新しいシェフとして、腕利きのヒョヌクを招く。,jvs002,30,52,True,,0.9667,29,29,0.5569,1.0837,0.4252,0.0,,weak_reference_native_likeness,False,no,same content/timing with shuffled F0,,,
JVS,wrong_accent_drop_control,VOICEACTRESS100_013,そこへ、オーナーが新しいシェフとして、腕利きのヒョヌクを招く。,jvs002,30,90,True,,1.0,30,30,0.5759,0.6379,0.7385,0.0,,weak_reference_native_likeness,False,no,rough wrong-drop control; known limitation if weakly separated,,,
JVS,low_f0_coverage_control,VOICEACTRESS100_013,そこへ、オーナーが新しいシェフとして、腕利きのヒョヌクを招く。,jvs002,30,,False,insufficient_valid_mora_f0,0.0667,2,2,,,,,,weak_reference_native_likeness,False,no,same content/timing with insufficient F0 coverage,,,
JVS,jvs_native,VOICEACTRESS100_014,クィーンズアベニューアルファに所属している。,jvs002,20,96,True,,1.0,20,20,0.4977,0.4769,0.8661,0.0,75,weak_reference_native_likeness,False,no,native audio scored without strict reference contour,,,
JVS,flat_pitch_control,VOICEACTRESS100_014,クィーンズアベニューアルファに所属している。,jvs002,20,9,True,,1.0,20,20,0.0,0.0,1.0,0.45,,weak_reference_native_likeness,False,no,same content/timing with flattened F0,,,
JVS,shuffled_random_pitch_control,VOICEACTRESS100_014,クィーンズアベニューアルファに所属している。,jvs002,20,51,True,,1.0,20,20,0.4977,1.0222,0.3687,0.0,,weak_reference_native_likeness,False,no,same content/timing with shuffled F0,,,
JVS,wrong_accent_drop_control,VOICEACTRESS100_014,クィーンズアベニューアルファに所属している。,jvs002,20,96,True,,1.0,20,20,0.4977,0.5029,0.8477,0.0,,weak_reference_native_likeness,False,no,rough wrong-drop control; known limitation if weakly separated,,,
JVS,low_f0_coverage_control,VOICEACTRESS100_014,クィーンズアベニューアルファに所属している。,jvs002,20,,False,insufficient_valid_mora_f0,0.1,2,2,,,,,,weak_reference_native_likeness,False,no,same content/timing with insufficient F0 coverage,,,
JVS,jvs_native,VOICEACTRESS100_015,一方で、漁業と商業で、リャネス港は繁栄していた。,jvs002,28,80,True,,1.0,28,28,0.541,0.8026,0.6704,0.0,68,weak_reference_native_likeness,False,no,native audio scored without strict reference contour,,,
JVS,flat_pitch_control,VOICEACTRESS100_015,一方で、漁業と商業で、リャネス港は繁栄していた。,jvs002,28,9,True,,1.0,28,28,0.0,0.0,1.0,0.45,,weak_reference_native_likeness,False,no,same content/timing with flattened F0,,,
JVS,shuffled_random_pitch_control,VOICEACTRESS100_015,一方で、漁業と商業で、リャネス港は繁栄していた。,jvs002,28,46,True,,1.0,28,28,0.541,1.1571,0.3285,0.0,,weak_reference_native_likeness,False,no,same content/timing with shuffled F0,,,
JVS,wrong_accent_drop_control,VOICEACTRESS100_015,一方で、漁業と商業で、リャネス港は繁栄していた。,jvs002,28,75,True,,1.0,28,28,0.5367,0.8044,0.5857,0.0,,weak_reference_native_likeness,False,no,rough wrong-drop control; known limitation if weakly separated,,,
JVS,low_f0_coverage_control,VOICEACTRESS100_015,一方で、漁業と商業で、リャネス港は繁栄していた。,jvs002,28,,False,insufficient_valid_mora_f0,0.0714,2,2,,,,,,weak_reference_native_likeness,False,no,same content/timing with insufficient F0 coverage,,,
JVS,jvs_native,VOICEACTRESS100_016,この、ニューサウスウェールズ代表チームが、ワラビーズの中核となって行く。,jvs002,35,95,True,,1.0,35,35,0.5558,0.5138,0.8287,0.0,79,weak_reference_native_likeness,False,no,native audio scored without strict reference contour,,,
JVS,flat_pitch_control,VOICEACTRESS100_016,この、ニューサウスウェールズ代表チームが、ワラビーズの中核となって行く。,jvs002,35,9,True,,1.0,35,35,0.0,0.0,1.0,0.45,,weak_reference_native_likeness,False,no,same content/timing with flattened F0,,,
JVS,shuffled_random_pitch_control,VOICEACTRESS100_016,この、ニューサウスウェールズ代表チームが、ワラビーズの中核となって行く。,jvs002,35,47,True,,1.0,35,35,0.5558,1.1372,0.3586,0.0,,weak_reference_native_likeness,False,no,same content/timing with shuffled F0,,,
JVS,wrong_accent_drop_control,VOICEACTRESS100_016,この、ニューサウスウェールズ代表チームが、ワラビーズの中核となって行く。,jvs002,35,91,True,,1.0,35,35,0.5641,0.5793,0.7466,0.0,,weak_reference_native_likeness,False,no,rough wrong-drop control; known limitation if weakly separated,,,
JVS,low_f0_coverage_control,VOICEACTRESS100_016,この、ニューサウスウェールズ代表チームが、ワラビーズの中核となって行く。,jvs002,35,,False,insufficient_valid_mora_f0,0.0571,2,2,,,,,,weak_reference_native_likeness,False,no,same content/timing with insufficient F0 coverage,,,
JVS,jvs_native,VOICEACTRESS100_017,ただし、ギャンブル依存症の入院治療を行っている病院は、わずかである。,jvs002,37,86,True,,1.0,37,37,0.5362,0.6903,0.6546,0.0,70,weak_reference_native_likeness,False,no,native audio scored without strict reference contour,,,
JVS,flat_pitch_control,VOICEACTRESS100_017,ただし、ギャンブル依存症の入院治療を行っている病院は、わずかである。,jvs002,37,9,True,,1.0,37,37,0.0,0.0,1.0,0.45,,weak_reference_native_likeness,False,no,same content/timing with flattened F0,,,
JVS,shuffled_random_pitch_control,VOICEACTRESS100_017,ただし、ギャンブル依存症の入院治療を行っている病院は、わずかである。,jvs002,37,50,True,,1.0,37,37,0.5362,1.0938,0.3523,0.0,,weak_reference_native_likeness,False,no,same content/timing with shuffled F0,,,
JVS,wrong_accent_drop_control,VOICEACTRESS100_017,ただし、ギャンブル依存症の入院治療を行っている病院は、わずかである。,jvs002,37,85,True,,1.0,37,37,0.5466,0.6874,0.6432,0.0,,weak_reference_native_likeness,False,no,rough wrong-drop control; known limitation if weakly separated,,,
JVS,low_f0_coverage_control,VOICEACTRESS100_017,ただし、ギャンブル依存症の入院治療を行っている病院は、わずかである。,jvs002,37,,False,insufficient_valid_mora_f0,0.0541,2,2,,,,,,weak_reference_native_likeness,False,no,same content/timing with insufficient F0 coverage,,,
JVS,jvs_native,VOICEACTRESS100_018,他のメジャーなディストリビューションに比べ、セキュリティー上の問題の修正が、遅い場合もある。,jvs002,45,94,True,,1.0,45,45,0.4599,0.5523,0.7962,0.0,67,weak_reference_native_likeness,False,no,native audio scored without strict reference contour,,,
JVS,flat_pitch_control,VOICEACTRESS100_018,他のメジャーなディストリビューションに比べ、セキュリティー上の問題の修正が、遅い場合もある。,jvs002,45,9,True,,1.0,45,45,0.0,0.0,1.0,0.45,,weak_reference_native_likeness,False,no,same content/timing with flattened F0,,,
JVS,shuffled_random_pitch_control,VOICEACTRESS100_018,他のメジャーなディストリビューションに比べ、セキュリティー上の問題の修正が、遅い場合もある。,jvs002,45,46,True,,1.0,45,45,0.4599,1.2047,0.2615,0.0,,weak_reference_native_likeness,False,no,same content/timing with shuffled F0,,,
JVS,wrong_accent_drop_control,VOICEACTRESS100_018,他のメジャーなディストリビューションに比べ、セキュリティー上の問題の修正が、遅い場合もある。,jvs002,45,91,True,,1.0,45,45,0.4352,0.5887,0.7681,0.0,,weak_reference_native_likeness,False,no,rough wrong-drop control; known limitation if weakly separated,,,
JVS,low_f0_coverage_control,VOICEACTRESS100_018,他のメジャーなディストリビューションに比べ、セキュリティー上の問題の修正が、遅い場合もある。,jvs002,45,,False,insufficient_valid_mora_f0,0.0444,2,2,,,,,,weak_reference_native_likeness,False,no,same content/timing with insufficient F0 coverage,,,
JVS,jvs_native,VOICEACTRESS100_019,ベルガートーア前の、ヴェディゲンウーファーパークには、戦争と弾圧の犠牲者のための記念碑が建っている。,jvs002,51,94,True,,1.0,51,51,0.5003,0.5485,0.7773,0.0,71,weak_reference_native_likeness,False,no,native audio scored without strict reference contour,,,
JVS,flat_pitch_control,VOICEACTRESS100_019,ベルガートーア前の、ヴェディゲンウーファーパークには、戦争と弾圧の犠牲者のための記念碑が建っている。,jvs002,51,9,True,,1.0,51,51,0.0,0.0,1.0,0.45,,weak_reference_native_likeness,False,no,same content/timing with flattened F0,,,
JVS,shuffled_random_pitch_control,VOICEACTRESS100_019,ベルガートーア前の、ヴェディゲンウーファーパークには、戦争と弾圧の犠牲者のための記念碑が建っている。,jvs002,51,46,True,,1.0,51,51,0.5003,1.0765,0.3019,0.0,,weak_reference_native_likeness,False,no,same content/timing with shuffled F0,,,
JVS,wrong_accent_drop_control,VOICEACTRESS100_019,ベルガートーア前の、ヴェディゲンウーファーパークには、戦争と弾圧の犠牲者のための記念碑が建っている。,jvs002,51,89,True,,1.0,51,51,0.5269,0.7011,0.679,0.0,,weak_reference_native_likeness,False,no,rough wrong-drop control; known limitation if weakly separated,,,
JVS,low_f0_coverage_control,VOICEACTRESS100_019,ベルガートーア前の、ヴェディゲンウーファーパークには、戦争と弾圧の犠牲者のための記念碑が建っている。,jvs002,51,,False,insufficient_valid_mora_f0,0.0392,2,2,,,,,,weak_reference_native_likeness,False,no,same content/timing with insufficient F0 coverage,,,
JVS,jvs_native,VOICEACTRESS100_020,全米パブリッシャーズ協会の、ベストストラテジーゲームオブザイヤーを、日本人として受賞。,jvs002,47,91,True,,1.0,47,47,0.5204,0.471,0.7834,0.0,72,weak_reference_native_likeness,False,no,native audio scored without strict reference contour,,,
JVS,flat_pitch_control,VOICEACTRESS100_020,全米パブリッシャーズ協会の、ベストストラテジーゲームオブザイヤーを、日本人として受賞。,jvs002,47,9,True,,1.0,47,47,0.0,0.0,1.0,0.45,,weak_reference_native_likeness,False,no,same content/timing with flattened F0,,,
JVS,shuffled_random_pitch_control,VOICEACTRESS100_020,全米パブリッシャーズ協会の、ベストストラテジーゲームオブザイヤーを、日本人として受賞。,jvs002,47,49,True,,1.0,47,47,0.5204,1.0837,0.3254,0.0,,weak_reference_native_likeness,False,no,same content/timing with shuffled F0,,,
JVS,wrong_accent_drop_control,VOICEACTRESS100_020,全米パブリッシャーズ協会の、ベストストラテジーゲームオブザイヤーを、日本人として受賞。,jvs002,47,91,True,,1.0,47,47,0.5349,0.4954,0.7662,0.0,,weak_reference_native_likeness,False,no,rough wrong-drop control; known limitation if weakly separated,,,
