case_id,input_class,provider_slot,result_source,external_provider_called,target_text,expected_spoken_text,transcript,language,asr_confidence,transcript_exact_normalized,transcript_kana,kana_similarity,japanese_likeness,mora_count,content_gate_status,content_gate_reason,weak_score_visibility_now,weak_score_visibility_if_user_confirms_unchanged,no_score_correct,false_accept_bad_input_if_confirmed,false_reject_good_japanese,hallucination_risk,word_timestamps_available,alignment_usefulness,feedback_location_may_improve,notes
learner_japanese_normal,good_japanese,openai_transcribe_candidate,offline_plan_replay,False,ラーメンをください,ラーメンをください,ラーメンをください,ja,,True,ラーメンヲクダサイ,1.0,1.0,9,pass,candidate_japanese_content,False,True,False,False,False,False,True,word_or_segment_anchor_available,True,learner content is intelligible
learner_japanese_normal,good_japanese,manual_transcript_confirmed,offline_plan_replay,False,ラーメンをください,ラーメンをください,ラーメンをください,ja,,True,ラーメンヲクダサイ,1.0,1.0,9,pass,candidate_japanese_content,True,True,False,False,False,False,False,none,False,learner content is intelligible
learner_japanese_with_pronunciation_issue,good_japanese,current_asr,offline_plan_replay,False,コーヒーをください,コーヒーをください,コヒーをください,ja,,False,コヒーヲクダサイ,0.8889,1.0,8,pass,candidate_japanese_content,False,True,False,False,False,False,False,none,False,ASR normalization can hide pronunciation detail
learner_japanese_with_pronunciation_issue,good_japanese,oracle_transcript,offline_plan_replay,False,コーヒーをください,コーヒーをください,コーヒーをください,ja,,True,コーヒーヲクダサイ,1.0,1.0,9,pass,candidate_japanese_content,False,True,False,False,False,False,False,none,False,ASR normalization can hide pronunciation detail
learner_japanese_with_pronunciation_issue,good_japanese,whisper_large_or_faster_whisper,offline_plan_replay,False,コーヒーをください,コーヒーをください,コーヒーをください,ja,,True,コーヒーヲクダサイ,1.0,1.0,9,pass,candidate_japanese_content,False,True,False,False,False,False,False,none,False,ASR normalization can hide pronunciation detail
learner_japanese_with_pronunciation_issue,good_japanese,whisperx_alignment,offline_plan_replay,False,コーヒーをください,コーヒーをください,コーヒーをください,ja,,True,コーヒーヲクダサイ,1.0,1.0,9,pass,candidate_japanese_content,False,True,False,False,False,False,True,word_or_segment_anchor_available,True,ASR normalization can hide pronunciation detail
learner_japanese_with_pronunciation_issue,good_japanese,openai_transcribe_candidate,offline_plan_replay,False,コーヒーをください,コーヒーをください,コーヒーをください,ja,,True,コーヒーヲクダサイ,1.0,1.0,9,pass,candidate_japanese_content,False,True,False,False,False,False,True,word_or_segment_anchor_available,True,ASR normalization can hide pronunciation detail
learner_japanese_with_pronunciation_issue,good_japanese,manual_transcript_confirmed,offline_plan_replay,False,コーヒーをください,コーヒーをください,コーヒーをください,ja,,True,コーヒーヲクダサイ,1.0,1.0,9,pass,candidate_japanese_content,True,True,False,False,False,False,False,none,False,ASR normalization can hide pronunciation detail
random_english,bad_non_japanese,current_asr,offline_plan_replay,False,,please give me ramen,please give me ramen,en,,True,プリーズギブｍｅアールエーエムイーエヌ,0.0,0.6545,19,reject,non_japanese_language,False,False,True,False,False,False,False,none,False,must remain no-score
random_english,bad_non_japanese,oracle_transcript,offline_plan_replay,False,,please give me ramen,please give me ramen,en,,True,プリーズギブｍｅアールエーエムイーエヌ,0.0,0.6545,19,reject,non_japanese_language,False,False,True,False,False,False,False,none,False,must remain no-score
random_english,bad_non_japanese,whisper_large_or_faster_whisper,offline_plan_replay,False,,please give me ramen,please give me ramen,en,,True,プリーズギブｍｅアールエーエムイーエヌ,0.0,0.6545,19,reject,non_japanese_language,False,False,True,False,False,False,False,none,False,must remain no-score
random_english,bad_non_japanese,whisperx_alignment,offline_plan_replay,False,,please give me ramen,please give me ramen,en,,True,プリーズギブｍｅアールエーエムイーエヌ,0.0,0.6545,19,reject,non_japanese_language,False,False,True,False,False,False,True,word_or_segment_anchor_available,False,must remain no-score
random_english,bad_non_japanese,openai_transcribe_candidate,offline_plan_replay,False,,please give me ramen,please give me ramen,en,,True,プリーズギブｍｅアールエーエムイーエヌ,0.0,0.6545,19,reject,non_japanese_language,False,False,True,False,False,False,True,word_or_segment_anchor_available,False,must remain no-score
random_english,bad_non_japanese,manual_transcript_confirmed,offline_plan_replay,False,,please give me ramen,,unknown,,False,,0.0,0.0,0,unavailable,missing_transcript,False,False,True,False,False,False,False,none,False,must remain no-score
latin_dominant_transcript,bad_non_japanese,current_asr,offline_plan_replay,False,,I want sushi kudasai,I want sushi kudasai,en,,True,Ｉダブリューエーエヌティーエスユーエスエイチアイケーユーディーエーエスエーアイ,0.0,0.8043,36,reject,non_japanese_language,False,False,True,False,False,False,False,none,False,must remain no-score
latin_dominant_transcript,bad_non_japanese,oracle_transcript,offline_plan_replay,False,,I want sushi kudasai,I want sushi kudasai,en,,True,Ｉダブリューエーエヌティーエスユーエスエイチアイケーユーディーエーエスエーアイ,0.0,0.8043,36,reject,non_japanese_language,False,False,True,False,False,False,False,none,False,must remain no-score
latin_dominant_transcript,bad_non_japanese,whisper_large_or_faster_whisper,offline_plan_replay,False,,I want sushi kudasai,I want sushi kudasai,en,,True,Ｉダブリューエーエヌティーエスユーエスエイチアイケーユーディーエーエスエーアイ,0.0,0.8043,36,reject,non_japanese_language,False,False,True,False,False,False,False,none,False,must remain no-score
latin_dominant_transcript,bad_non_japanese,whisperx_alignment,offline_plan_replay,False,,I want sushi kudasai,I want sushi kudasai,en,,True,Ｉダブリューエーエヌティーエスユーエスエイチアイケーユーディーエーエスエーアイ,0.0,0.8043,36,reject,non_japanese_language,False,False,True,False,False,False,True,word_or_segment_anchor_available,False,must remain no-score
latin_dominant_transcript,bad_non_japanese,openai_transcribe_candidate,offline_plan_replay,False,,I want sushi kudasai,I want sushi kudasai,en,,True,Ｉダブリューエーエヌティーエスユーエスエイチアイケーユーディーエーエスエーアイ,0.0,0.8043,36,reject,non_japanese_language,False,False,True,False,False,False,True,word_or_segment_anchor_available,False,must remain no-score
latin_dominant_transcript,bad_non_japanese,manual_transcript_confirmed,offline_plan_replay,False,,I want sushi kudasai,,unknown,,False,,0.0,0.0,0,unavailable,missing_transcript,False,False,True,False,False,False,False,none,False,must remain no-score
code_switching,bad_non_japanese,current_asr,offline_plan_replay,False,,今日は meeting があります,今日は meeting があります,mixed,,True,キョーワエムイーイーティーアイエヌジーガアリマス,0.0,0.8852,22,reject,non_japanese_language,False,False,True,False,False,False,False,none,False,Japanese-only practice requires manual confirmation
code_switching,bad_non_japanese,oracle_transcript,offline_plan_replay,False,,今日は meeting があります,今日は meeting があります,en,,True,キョーワエムイーイーティーアイエヌジーガアリマス,0.0,0.8852,22,reject,non_japanese_language,False,False,True,False,False,False,False,none,False,Japanese-only practice requires manual confirmation
code_switching,bad_non_japanese,whisper_large_or_faster_whisper,offline_plan_replay,False,,今日は meeting があります,今日は meeting があります,en,,True,キョーワエムイーイーティーアイエヌジーガアリマス,0.0,0.8852,22,reject,non_japanese_language,False,False,True,False,False,False,False,none,False,Japanese-only practice requires manual confirmation
code_switching,bad_non_japanese,whisperx_alignment,offline_plan_replay,False,,今日は meeting があります,今日は meeting があります,en,,True,キョーワエムイーイーティーアイエヌジーガアリマス,0.0,0.8852,22,reject,non_japanese_language,False,False,True,False,False,False,True,word_or_segment_anchor_available,False,Japanese-only practice requires manual confirmation
code_switching,bad_non_japanese,openai_transcribe_candidate,offline_plan_replay,False,,今日は meeting があります,今日は meeting があります,en,,True,キョーワエムイーイーティーアイエヌジーガアリマス,0.0,0.8852,22,reject,non_japanese_language,False,False,True,False,False,False,True,word_or_segment_anchor_available,False,Japanese-only practice requires manual confirmation
code_switching,bad_non_japanese,manual_transcript_confirmed,offline_plan_replay,False,,今日は meeting があります,,unknown,,False,,0.0,0.0,0,unavailable,missing_transcript,False,False,True,False,False,False,False,none,False,Japanese-only practice requires manual confirmation
short_japanese,low_evidence_japanese,current_asr,offline_plan_replay,False,はい,はい,はい,ja,,True,ハイ,1.0,1.0,2,reject,too_short_for_pseudo_reference,False,False,True,False,False,False,False,none,False,content may be correct but evidence remains too short
short_japanese,low_evidence_japanese,oracle_transcript,offline_plan_replay,False,はい,はい,はい,ja,,True,ハイ,1.0,1.0,2,reject,too_short_for_pseudo_reference,False,False,True,False,False,False,False,none,False,content may be correct but evidence remains too short
short_japanese,low_evidence_japanese,whisper_large_or_faster_whisper,offline_plan_replay,False,はい,はい,はい,ja,,True,ハイ,1.0,1.0,2,reject,too_short_for_pseudo_reference,False,False,True,False,False,False,False,none,False,content may be correct but evidence remains too short
short_japanese,low_evidence_japanese,whisperx_alignment,offline_plan_replay,False,はい,はい,はい,ja,,True,ハイ,1.0,1.0,2,reject,too_short_for_pseudo_reference,False,False,True,False,False,False,True,word_or_segment_anchor_available,True,content may be correct but evidence remains too short
short_japanese,low_evidence_japanese,openai_transcribe_candidate,offline_plan_replay,False,はい,はい,はい,ja,,True,ハイ,1.0,1.0,2,reject,too_short_for_pseudo_reference,False,False,True,False,False,False,True,word_or_segment_anchor_available,True,content may be correct but evidence remains too short
short_japanese,low_evidence_japanese,manual_transcript_confirmed,offline_plan_replay,False,はい,はい,はい,ja,,True,ハイ,1.0,1.0,2,reject,too_short_for_pseudo_reference,False,False,True,False,False,False,False,none,False,content may be correct but evidence remains too short
noisy_audio,good_japanese,current_asr,offline_plan_replay,False,もう一度お願いします,もう一度お願いします,,unknown,,False,,0.0,0.0,0,unavailable,missing_transcript,False,False,False,False,True,False,False,none,False,current ASR unavailable in replay
noisy_audio,good_japanese,oracle_transcript,offline_plan_replay,False,もう一度お願いします,もう一度お願いします,もう一度お願いします,ja,,True,モーイチドオネガイシマス,1.0,1.0,12,pass,candidate_japanese_content,False,True,False,False,False,False,False,none,False,current ASR unavailable in replay
noisy_audio,good_japanese,whisper_large_or_faster_whisper,offline_plan_replay,False,もう一度お願いします,もう一度お願いします,もう一度お願いします,ja,,True,モーイチドオネガイシマス,1.0,1.0,12,pass,candidate_japanese_content,False,True,False,False,False,False,False,none,False,current ASR unavailable in replay
noisy_audio,good_japanese,whisperx_alignment,offline_plan_replay,False,もう一度お願いします,もう一度お願いします,もう一度お願いします,ja,,True,モーイチドオネガイシマス,1.0,1.0,12,pass,candidate_japanese_content,False,True,False,False,False,False,True,word_or_segment_anchor_available,True,current ASR unavailable in replay
noisy_audio,good_japanese,openai_transcribe_candidate,offline_plan_replay,False,もう一度お願いします,もう一度お願いします,もう一度お願いします,ja,,True,モーイチドオネガイシマス,1.0,1.0,12,pass,candidate_japanese_content,False,True,False,False,False,False,True,word_or_segment_anchor_available,True,current ASR unavailable in replay
noisy_audio,good_japanese,manual_transcript_confirmed,offline_plan_replay,False,もう一度お願いします,もう一度お願いします,もう一度お願いします,ja,,True,モーイチドオネガイシマス,1.0,1.0,12,pass,candidate_japanese_content,True,True,False,False,False,False,False,none,False,current ASR unavailable in replay
wrong_japanese_sentence,bad_wrong_content,current_asr,offline_plan_replay,False,ラーメンをください,すしをください,すしをください,ja,,True,スシヲクダサイ,0.5556,1.0,7,pass,candidate_japanese_content,False,True,True,True,False,True,False,none,False,fixed-target mismatch must reject
wrong_japanese_sentence,bad_wrong_content,oracle_transcript,offline_plan_replay,False,ラーメンをください,すしをください,すしをください,ja,,True,スシヲクダサイ,0.5556,1.0,7,pass,candidate_japanese_content,False,True,True,True,False,True,False,none,False,fixed-target mismatch must reject
wrong_japanese_sentence,bad_wrong_content,whisper_large_or_faster_whisper,offline_plan_replay,False,ラーメンをください,すしをください,すしをください,ja,,True,スシヲクダサイ,0.5556,1.0,7,pass,candidate_japanese_content,False,True,True,True,False,True,False,none,False,fixed-target mismatch must reject
wrong_japanese_sentence,bad_wrong_content,whisperx_alignment,offline_plan_replay,False,ラーメンをください,すしをください,すしをください,ja,,True,スシヲクダサイ,0.5556,1.0,7,pass,candidate_japanese_content,False,True,True,True,False,True,True,word_or_segment_anchor_available,False,fixed-target mismatch must reject
wrong_japanese_sentence,bad_wrong_content,openai_transcribe_candidate,offline_plan_replay,False,ラーメンをください,すしをください,すしをください,ja,,True,スシヲクダサイ,0.5556,1.0,7,pass,candidate_japanese_content,False,True,True,True,False,True,True,word_or_segment_anchor_available,False,fixed-target mismatch must reject
wrong_japanese_sentence,bad_wrong_content,manual_transcript_confirmed,offline_plan_replay,False,ラーメンをください,すしをください,,unknown,,False,,0.0,0.0,0,unavailable,missing_transcript,False,False,True,False,False,False,False,none,False,fixed-target mismatch must reject
asr_hallucinated_japanese,bad_non_japanese,current_asr,offline_plan_replay,False,,hello how are you,ラーメンをください,ja,,False,ラーメンヲクダサイ,0.0,1.0,9,pass,candidate_japanese_content,False,True,True,True,False,True,False,none,False,current-style hallucination risk control
asr_hallucinated_japanese,bad_non_japanese,oracle_transcript,offline_plan_replay,False,,hello how are you,hello how are you,en,,True,エイチイーエルエルオーハウエーアールイーユー,0.0,0.7586,22,reject,non_japanese_language,False,False,True,False,False,False,False,none,False,current-style hallucination risk control
asr_hallucinated_japanese,bad_non_japanese,whisper_large_or_faster_whisper,offline_plan_replay,False,,hello how are you,hello how are you,en,,True,エイチイーエルエルオーハウエーアールイーユー,0.0,0.7586,22,reject,non_japanese_language,False,False,True,False,False,False,False,none,False,current-style hallucination risk control
asr_hallucinated_japanese,bad_non_japanese,whisperx_alignment,offline_plan_replay,False,,hello how are you,hello how are you,en,,True,エイチイーエルエルオーハウエーアールイーユー,0.0,0.7586,22,reject,non_japanese_language,False,False,True,False,False,False,True,word_or_segment_anchor_available,False,current-style hallucination risk control
asr_hallucinated_japanese,bad_non_japanese,openai_transcribe_candidate,offline_plan_replay,False,,hello how are you,hello how are you,en,,True,エイチイーエルエルオーハウエーアールイーユー,0.0,0.7586,22,reject,non_japanese_language,False,False,True,False,False,False,True,word_or_segment_anchor_available,False,current-style hallucination risk control
asr_hallucinated_japanese,bad_non_japanese,manual_transcript_confirmed,offline_plan_replay,False,,hello how are you,,unknown,,False,,0.0,0.0,0,unavailable,missing_transcript,False,False,True,False,False,False,False,none,False,current-style hallucination risk control
special_mora_sentence,good_japanese,current_asr,offline_plan_replay,False,切手を買いました,切手を買いました,きてを買いました,ja,,False,キテヲカイマシタ,0.8889,1.0,8,pass,candidate_japanese_content,False,True,False,False,False,False,False,none,False,word timestamps may help alignment but do not prove closure
special_mora_sentence,good_japanese,oracle_transcript,offline_plan_replay,False,切手を買いました,切手を買いました,切手を買いました,ja,,True,キッテヲカイマシタ,1.0,1.0,9,pass,candidate_japanese_content,False,True,False,False,False,False,False,none,False,word timestamps may help alignment but do not prove closure
special_mora_sentence,good_japanese,whisper_large_or_faster_whisper,offline_plan_replay,False,切手を買いました,切手を買いました,切手を買いました,ja,,True,キッテヲカイマシタ,1.0,1.0,9,pass,candidate_japanese_content,False,True,False,False,False,False,False,none,False,word timestamps may help alignment but do not prove closure
special_mora_sentence,good_japanese,whisperx_alignment,offline_plan_replay,False,切手を買いました,切手を買いました,切手を買いました,ja,,True,キッテヲカイマシタ,1.0,1.0,9,pass,candidate_japanese_content,False,True,False,False,False,False,True,word_or_segment_anchor_available,True,word timestamps may help alignment but do not prove closure
special_mora_sentence,good_japanese,openai_transcribe_candidate,offline_plan_replay,False,切手を買いました,切手を買いました,切手を買いました,ja,,True,キッテヲカイマシタ,1.0,1.0,9,pass,candidate_japanese_content,False,True,False,False,False,False,True,word_or_segment_anchor_available,True,word timestamps may help alignment but do not prove closure
special_mora_sentence,good_japanese,manual_transcript_confirmed,offline_plan_replay,False,切手を買いました,切手を買いました,切手を買いました,ja,,True,キッテヲカイマシタ,1.0,1.0,9,pass,candidate_japanese_content,True,True,False,False,False,False,False,none,False,word timestamps may help alignment but do not prove closure
long_pause_sentence,good_japanese,current_asr,offline_plan_replay,False,駅までお願いします,駅までお願いします,駅までお願いします,ja,,True,エキマデオネガイシマス,1.0,1.0,11,pass,candidate_japanese_content,False,True,False,False,False,False,False,none,False,segment timestamps may locate pauses
long_pause_sentence,good_japanese,oracle_transcript,offline_plan_replay,False,駅までお願いします,駅までお願いします,駅までお願いします,ja,,True,エキマデオネガイシマス,1.0,1.0,11,pass,candidate_japanese_content,False,True,False,False,False,False,False,none,False,segment timestamps may locate pauses
long_pause_sentence,good_japanese,whisper_large_or_faster_whisper,offline_plan_replay,False,駅までお願いします,駅までお願いします,駅までお願いします,ja,,True,エキマデオネガイシマス,1.0,1.0,11,pass,candidate_japanese_content,False,True,False,False,False,False,False,none,False,segment timestamps may locate pauses
long_pause_sentence,good_japanese,whisperx_alignment,offline_plan_replay,False,駅までお願いします,駅までお願いします,駅までお願いします,ja,,True,エキマデオネガイシマス,1.0,1.0,11,pass,candidate_japanese_content,False,True,False,False,False,False,True,word_or_segment_anchor_available,True,segment timestamps may locate pauses
long_pause_sentence,good_japanese,openai_transcribe_candidate,offline_plan_replay,False,駅までお願いします,駅までお願いします,駅までお願いします,ja,,True,エキマデオネガイシマス,1.0,1.0,11,pass,candidate_japanese_content,False,True,False,False,False,False,True,word_or_segment_anchor_available,True,segment timestamps may locate pauses
long_pause_sentence,good_japanese,manual_transcript_confirmed,offline_plan_replay,False,駅までお願いします,駅までお願いします,駅までお願いします,ja,,True,エキマデオネガイシマス,1.0,1.0,11,pass,candidate_japanese_content,True,True,False,False,False,False,False,none,False,segment timestamps may locate pauses
