case_id,target_text,focus,provider_slot,external_provider_called,result_source,fixture_available,audio_readable,audio_path,sample_rate,duration_sec,f0_coverage,mora_timing_quality,mora_timing_source,pitch_range_log,local_pitch_movement,final_intonation_score,g2p_kana_match,openjtalk_full_context_available,provenance,sidecar_reliability,strong_pitch_reference_allowed,user_facing_status,notes,reference_source
sumimasen,すみません,nasal,pyopenjtalk_run_marine_if_available,False,offline_inventory_or_missing_fixture,False,,,,,,,,,,,,,synthetic_tts,weak,False,weak_demo_reference,packaged target lacks verified human audio; run_marine candidate not invoked,
sumimasen,すみません,nasal,openai_gpt4o_mini_tts_candidate,False,offline_inventory_or_missing_fixture,False,,,,,,,,,,,,,synthetic_tts,weak,False,weak_demo_reference,packaged target lacks verified human audio; external candidate output not supplied,
sumimasen,すみません,nasal,edge_or_other_tts_candidate,False,offline_inventory_or_missing_fixture,False,,,,,,,,,,,,,synthetic_tts,weak,False,weak_demo_reference,packaged target lacks verified human audio; external candidate output not supplied,
sumimasen,すみません,nasal,human_native_reference_oracle,False,offline_inventory_or_missing_fixture,False,,,,,,,,,,,,,verified_human_oracle,reliable_if_verified_fixture_exists,False,strict_reference_only_if_verified,packaged target lacks verified human audio,
mou_ichido_onegaishimasu,もう一度お願いします,phrase_final_intonation,current_pyopenjtalk,False,offline_inventory_or_missing_fixture,False,,,,,,,,,,,,,synthetic_tts,weak,False,weak_demo_reference,packaged target lacks verified human audio,
mou_ichido_onegaishimasu,もう一度お願いします,phrase_final_intonation,pyopenjtalk_run_marine_if_available,False,offline_inventory_or_missing_fixture,False,,,,,,,,,,,,,synthetic_tts,weak,False,weak_demo_reference,packaged target lacks verified human audio; run_marine candidate not invoked,
mou_ichido_onegaishimasu,もう一度お願いします,phrase_final_intonation,openai_gpt4o_mini_tts_candidate,False,offline_inventory_or_missing_fixture,False,,,,,,,,,,,,,synthetic_tts,weak,False,weak_demo_reference,packaged target lacks verified human audio; external candidate output not supplied,
mou_ichido_onegaishimasu,もう一度お願いします,phrase_final_intonation,edge_or_other_tts_candidate,False,offline_inventory_or_missing_fixture,False,,,,,,,,,,,,,synthetic_tts,weak,False,weak_demo_reference,packaged target lacks verified human audio; external candidate output not supplied,
mou_ichido_onegaishimasu,もう一度お願いします,phrase_final_intonation,human_native_reference_oracle,False,offline_inventory_or_missing_fixture,False,,,,,,,,,,,,,verified_human_oracle,reliable_if_verified_fixture_exists,False,strict_reference_only_if_verified,packaged target lacks verified human audio,
eki_made_onegaishimasu,駅までお願いします,phrase_rhythm,current_pyopenjtalk,False,offline_inventory_or_missing_fixture,False,,,,,,,,,,,,,synthetic_tts,weak,False,weak_demo_reference,packaged target lacks verified human audio,
eki_made_onegaishimasu,駅までお願いします,phrase_rhythm,pyopenjtalk_run_marine_if_available,False,offline_inventory_or_missing_fixture,False,,,,,,,,,,,,,synthetic_tts,weak,False,weak_demo_reference,packaged target lacks verified human audio; run_marine candidate not invoked,
eki_made_onegaishimasu,駅までお願いします,phrase_rhythm,openai_gpt4o_mini_tts_candidate,False,offline_inventory_or_missing_fixture,False,,,,,,,,,,,,,synthetic_tts,weak,False,weak_demo_reference,packaged target lacks verified human audio; external candidate output not supplied,
eki_made_onegaishimasu,駅までお願いします,phrase_rhythm,edge_or_other_tts_candidate,False,offline_inventory_or_missing_fixture,False,,,,,,,,,,,,,synthetic_tts,weak,False,weak_demo_reference,packaged target lacks verified human audio; external candidate output not supplied,
eki_made_onegaishimasu,駅までお願いします,phrase_rhythm,human_native_reference_oracle,False,offline_inventory_or_missing_fixture,False,,,,,,,,,,,,,verified_human_oracle,reliable_if_verified_fixture_exists,False,strict_reference_only_if_verified,packaged target lacks verified human audio,
jvs_selected_014,クィーンズアベニューアルファに所属している。,cross_speaker_pitch,current_pyopenjtalk,False,offline_inventory_or_missing_fixture,False,,,,,,,,,,,,,synthetic_tts,weak,False,weak_demo_reference,test-only verified human oracle exists,
jvs_selected_014,クィーンズアベニューアルファに所属している。,cross_speaker_pitch,pyopenjtalk_run_marine_if_available,False,offline_inventory_or_missing_fixture,False,,,,,,,,,,,,,synthetic_tts,weak,False,weak_demo_reference,test-only verified human oracle exists; run_marine candidate not invoked,
jvs_selected_014,クィーンズアベニューアルファに所属している。,cross_speaker_pitch,openai_gpt4o_mini_tts_candidate,False,offline_inventory_or_missing_fixture,False,,,,,,,,,,,,,synthetic_tts,weak,False,weak_demo_reference,test-only verified human oracle exists; external candidate output not supplied,
jvs_selected_014,クィーンズアベニューアルファに所属している。,cross_speaker_pitch,edge_or_other_tts_candidate,False,offline_inventory_or_missing_fixture,False,,,,,,,,,,,,,synthetic_tts,weak,False,weak_demo_reference,test-only verified human oracle exists; external candidate output not supplied,
jvs_selected_014,クィーンズアベニューアルファに所属している。,cross_speaker_pitch,human_native_reference_oracle,False,existing_local_cache_replay,True,True,/Users/ryukayuiii/Documents/jp_speech_eval_project/ver1.3/results/test_fixtures/jvs_verified_pitch_demo/jvs001_VOICEACTRESS100_014.ref.wav,16000,2.432,1.0,non_fallback,lab_phone_mora,0.7815,0.4599,0.98,1.0,True,verified_human_oracle,reliable,True,strict_reference_only_if_verified,test-only verified human oracle exists,test_only_jvs_native_reference
pitch_accent_sensitive_phrase,雨が降っています,pitch_accent_sensitive,current_pyopenjtalk,False,offline_inventory_or_missing_fixture,False,,,,,,,,,,,,,synthetic_tts,weak,False,weak_demo_reference,requires manually validated accent target,
pitch_accent_sensitive_phrase,雨が降っています,pitch_accent_sensitive,pyopenjtalk_run_marine_if_available,False,offline_inventory_or_missing_fixture,False,,,,,,,,,,,,,synthetic_tts,weak,False,weak_demo_reference,requires manually validated accent target; run_marine candidate not invoked,
pitch_accent_sensitive_phrase,雨が降っています,pitch_accent_sensitive,openai_gpt4o_mini_tts_candidate,False,offline_inventory_or_missing_fixture,False,,,,,,,,,,,,,synthetic_tts,weak,False,weak_demo_reference,requires manually validated accent target; external candidate output not supplied,
pitch_accent_sensitive_phrase,雨が降っています,pitch_accent_sensitive,edge_or_other_tts_candidate,False,offline_inventory_or_missing_fixture,False,,,,,,,,,,,,,synthetic_tts,weak,False,weak_demo_reference,requires manually validated accent target; external candidate output not supplied,
pitch_accent_sensitive_phrase,雨が降っています,pitch_accent_sensitive,human_native_reference_oracle,False,offline_inventory_or_missing_fixture,False,,,,,,,,,,,,,verified_human_oracle,reliable_if_verified_fixture_exists,False,strict_reference_only_if_verified,requires manually validated accent target,
long_vowel_phrase,コーヒーを二つください,long_vowel,current_pyopenjtalk,False,offline_inventory_or_missing_fixture,False,,,,,,,,,,,,,synthetic_tts,weak,False,weak_demo_reference,duration and pitch both need inspection,
long_vowel_phrase,コーヒーを二つください,long_vowel,pyopenjtalk_run_marine_if_available,False,offline_inventory_or_missing_fixture,False,,,,,,,,,,,,,synthetic_tts,weak,False,weak_demo_reference,duration and pitch both need inspection; run_marine candidate not invoked,
long_vowel_phrase,コーヒーを二つください,long_vowel,openai_gpt4o_mini_tts_candidate,False,offline_inventory_or_missing_fixture,False,,,,,,,,,,,,,synthetic_tts,weak,False,weak_demo_reference,duration and pitch both need inspection; external candidate output not supplied,
long_vowel_phrase,コーヒーを二つください,long_vowel,edge_or_other_tts_candidate,False,offline_inventory_or_missing_fixture,False,,,,,,,,,,,,,synthetic_tts,weak,False,weak_demo_reference,duration and pitch both need inspection; external candidate output not supplied,
long_vowel_phrase,コーヒーを二つください,long_vowel,human_native_reference_oracle,False,offline_inventory_or_missing_fixture,False,,,,,,,,,,,,,verified_human_oracle,reliable_if_verified_fixture_exists,False,strict_reference_only_if_verified,duration and pitch both need inspection,
sokuon_phrase,切手を買いました,sokuon,current_pyopenjtalk,False,offline_inventory_or_missing_fixture,False,,,,,,,,,,,,,synthetic_tts,weak,False,weak_demo_reference,TTS timing cannot validate learner closure scoring,
sokuon_phrase,切手を買いました,sokuon,pyopenjtalk_run_marine_if_available,False,offline_inventory_or_missing_fixture,False,,,,,,,,,,,,,synthetic_tts,weak,False,weak_demo_reference,TTS timing cannot validate learner closure scoring; run_marine candidate not invoked,
sokuon_phrase,切手を買いました,sokuon,openai_gpt4o_mini_tts_candidate,False,offline_inventory_or_missing_fixture,False,,,,,,,,,,,,,synthetic_tts,weak,False,weak_demo_reference,TTS timing cannot validate learner closure scoring; external candidate output not supplied,
sokuon_phrase,切手を買いました,sokuon,edge_or_other_tts_candidate,False,offline_inventory_or_missing_fixture,False,,,,,,,,,,,,,synthetic_tts,weak,False,weak_demo_reference,TTS timing cannot validate learner closure scoring; external candidate output not supplied,
sokuon_phrase,切手を買いました,sokuon,human_native_reference_oracle,False,offline_inventory_or_missing_fixture,False,,,,,,,,,,,,,verified_human_oracle,reliable_if_verified_fixture_exists,False,strict_reference_only_if_verified,TTS timing cannot validate learner closure scoring,
nasal_phrase,本を三冊お願いします,nasal,current_pyopenjtalk,False,offline_inventory_or_missing_fixture,False,,,,,,,,,,,,,synthetic_tts,weak,False,weak_demo_reference,nasal mora timing needs inspection,
nasal_phrase,本を三冊お願いします,nasal,pyopenjtalk_run_marine_if_available,False,offline_inventory_or_missing_fixture,False,,,,,,,,,,,,,synthetic_tts,weak,False,weak_demo_reference,nasal mora timing needs inspection; run_marine candidate not invoked,
nasal_phrase,本を三冊お願いします,nasal,openai_gpt4o_mini_tts_candidate,False,offline_inventory_or_missing_fixture,False,,,,,,,,,,,,,synthetic_tts,weak,False,weak_demo_reference,nasal mora timing needs inspection; external candidate output not supplied,
nasal_phrase,本を三冊お願いします,nasal,edge_or_other_tts_candidate,False,offline_inventory_or_missing_fixture,False,,,,,,,,,,,,,synthetic_tts,weak,False,weak_demo_reference,nasal mora timing needs inspection; external candidate output not supplied,
nasal_phrase,本を三冊お願いします,nasal,human_native_reference_oracle,False,offline_inventory_or_missing_fixture,False,,,,,,,,,,,,,verified_human_oracle,reliable_if_verified_fixture_exists,False,strict_reference_only_if_verified,nasal mora timing needs inspection,
