condition,sentence_id,user_speaker,layer,strategy,reference_count,distance
native_leave_one_speaker_out,1,jvs003,12,median,3,0.227231
native_leave_one_speaker_out,1,jvs003,12,trimmed_mean,3,0.225632
native_leave_one_speaker_out,1,jvs003,12,nearest,3,0.202006
native_leave_one_speaker_out,1,jvs003,12,top_k_mean,3,0.214619
wrong_target,1,jvs005_other_sentence,12,median,3,0.514735
native_leave_one_speaker_out,1,jvs003,18,mean,3,0.17201
native_leave_one_speaker_out,1,jvs003,18,median,3,0.174197
native_leave_one_speaker_out,1,jvs003,18,trimmed_mean,3,0.17201
native_leave_one_speaker_out,1,jvs003,18,nearest,3,0.152657
native_leave_one_speaker_out,1,jvs003,18,top_k_mean,3,0.163427
wrong_target,1,jvs005_other_sentence,18,median,3,0.440478
native_leave_one_speaker_out,1,jvs003,24,mean,3,0.216467
native_leave_one_speaker_out,1,jvs003,24,median,3,0.220838
native_leave_one_speaker_out,1,jvs003,24,trimmed_mean,3,0.216467
native_leave_one_speaker_out,1,jvs003,24,nearest,3,0.168912
native_leave_one_speaker_out,1,jvs003,24,top_k_mean,3,0.194875
wrong_target,1,jvs005_other_sentence,24,median,3,0.706381
native_leave_one_speaker_out,1,jvs004,6,mean,3,0.322113
native_leave_one_speaker_out,1,jvs004,6,median,3,0.335971
native_leave_one_speaker_out,1,jvs004,6,trimmed_mean,3,0.322113
native_leave_one_speaker_out,1,jvs004,6,nearest,3,0.289995
native_leave_one_speaker_out,1,jvs004,6,top_k_mean,3,0.312983
wrong_target,1,jvs005_other_sentence,6,median,3,0.555277
native_leave_one_speaker_out,1,jvs004,12,mean,3,0.235655
native_leave_one_speaker_out,1,jvs004,12,median,3,0.243154
native_leave_one_speaker_out,1,jvs004,12,trimmed_mean,3,0.235655
native_leave_one_speaker_out,1,jvs004,12,nearest,3,0.216152
native_leave_one_speaker_out,1,jvs004,12,top_k_mean,3,0.229653
wrong_target,1,jvs005_other_sentence,12,median,3,0.514735
native_leave_one_speaker_out,1,jvs004,18,mean,3,0.18191
native_leave_one_speaker_out,1,jvs004,18,median,3,0.18873
native_leave_one_speaker_out,1,jvs004,18,trimmed_mean,3,0.18191
native_leave_one_speaker_out,1,jvs004,18,nearest,3,0.167824
native_leave_one_speaker_out,1,jvs004,18,top_k_mean,3,0.178277
wrong_target,1,jvs005_other_sentence,18,median,3,0.440478
native_leave_one_speaker_out,1,jvs004,24,mean,3,0.220402
native_leave_one_speaker_out,1,jvs004,24,median,3,0.220838
native_leave_one_speaker_out,1,jvs004,24,trimmed_mean,3,0.220402
native_leave_one_speaker_out,1,jvs004,24,nearest,3,0.212416
native_leave_one_speaker_out,1,jvs004,24,top_k_mean,3,0.216627
wrong_target,1,jvs005_other_sentence,24,median,3,0.706381
native_leave_one_speaker_out,2,jvs001,6,mean,3,0.301556
native_leave_one_speaker_out,2,jvs001,6,median,3,0.287739
native_leave_one_speaker_out,2,jvs001,6,trimmed_mean,3,0.301556
native_leave_one_speaker_out,2,jvs001,6,nearest,3,0.266439
native_leave_one_speaker_out,2,jvs001,6,top_k_mean,3,0.277089
wrong_target,2,jvs005_other_sentence,6,median,3,0.556308
native_leave_one_speaker_out,2,jvs001,12,mean,3,0.230584
native_leave_one_speaker_out,2,jvs001,12,median,3,0.218241
native_leave_one_speaker_out,2,jvs001,12,trimmed_mean,3,0.230584
native_leave_one_speaker_out,2,jvs001,12,nearest,3,0.211358
native_leave_one_speaker_out,2,jvs001,12,top_k_mean,3,0.214799
wrong_target,2,jvs005_other_sentence,12,median,3,0.506341
native_leave_one_speaker_out,2,jvs001,18,mean,3,0.177585
native_leave_one_speaker_out,2,jvs001,18,median,3,0.170864
native_leave_one_speaker_out,2,jvs001,18,trimmed_mean,3,0.177585
native_leave_one_speaker_out,2,jvs001,18,nearest,3,0.162674
native_leave_one_speaker_out,2,jvs001,18,top_k_mean,3,0.166769
wrong_target,2,jvs005_other_sentence,18,median,3,0.441862
native_leave_one_speaker_out,2,jvs001,24,mean,3,0.245871
native_leave_one_speaker_out,2,jvs001,24,median,3,0.245204
native_leave_one_speaker_out,2,jvs001,24,trimmed_mean,3,0.245871
native_leave_one_speaker_out,2,jvs001,24,nearest,3,0.218435
native_leave_one_speaker_out,2,jvs001,24,top_k_mean,3,0.231819
wrong_target,2,jvs005_other_sentence,24,median,3,0.718715
native_leave_one_speaker_out,2,jvs002,6,mean,3,0.289006
native_leave_one_speaker_out,2,jvs002,6,median,3,0.287739
native_leave_one_speaker_out,2,jvs002,6,trimmed_mean,3,0.289006
native_leave_one_speaker_out,2,jvs002,6,nearest,3,0.27947
native_leave_one_speaker_out,2,jvs002,6,top_k_mean,3,0.283604
wrong_target,2,jvs005_other_sentence,6,median,3,0.544661
native_leave_one_speaker_out,2,jvs002,12,mean,3,0.219578
native_leave_one_speaker_out,2,jvs002,12,median,3,0.218241
native_leave_one_speaker_out,2,jvs002,12,trimmed_mean,3,0.219578
native_leave_one_speaker_out,2,jvs002,12,nearest,3,0.214125
native_leave_one_speaker_out,2,jvs002,12,top_k_mean,3,0.216183
wrong_target,2,jvs005_other_sentence,12,median,3,0.506341
native_leave_one_speaker_out,2,jvs002,18,mean,3,0.170293
native_leave_one_speaker_out,2,jvs002,18,median,3,0.170864
native_leave_one_speaker_out,2,jvs002,18,trimmed_mean,3,0.170293
native_leave_one_speaker_out,2,jvs002,18,nearest,3,0.16714
native_leave_one_speaker_out,2,jvs002,18,top_k_mean,3,0.169002
wrong_target,2,jvs005_other_sentence,18,median,3,0.430079
native_leave_one_speaker_out,2,jvs002,24,mean,3,0.227034
native_leave_one_speaker_out,2,jvs002,24,median,3,0.221948
native_leave_one_speaker_out,2,jvs002,24,trimmed_mean,3,0.227034
native_leave_one_speaker_out,2,jvs002,24,nearest,3,0.218435
native_leave_one_speaker_out,2,jvs002,24,top_k_mean,3,0.220192
wrong_target,2,jvs005_other_sentence,24,median,3,0.716949
native_leave_one_speaker_out,2,jvs003,6,mean,3,0.295231
native_leave_one_speaker_out,2,jvs003,6,median,3,0.27947
native_leave_one_speaker_out,2,jvs003,6,trimmed_mean,3,0.295231
native_leave_one_speaker_out,2,jvs003,6,nearest,3,0.266439
native_leave_one_speaker_out,2,jvs003,6,top_k_mean,3,0.272954
wrong_target,2,jvs005_other_sentence,6,median,3,0.556308
native_leave_one_speaker_out,2,jvs003,12,mean,3,0.227611
native_leave_one_speaker_out,2,jvs003,12,median,3,0.214125
native_leave_one_speaker_out,2,jvs003,12,trimmed_mean,3,0.227611
native_leave_one_speaker_out,2,jvs003,12,nearest,3,0.211358
native_leave_one_speaker_out,2,jvs003,12,top_k_mean,3,0.212742
wrong_target,2,jvs005_other_sentence,12,median,3,0.499968
native_leave_one_speaker_out,2,jvs003,18,mean,3,0.175986
native_leave_one_speaker_out,2,jvs003,18,median,3,0.16714
native_leave_one_speaker_out,2,jvs003,18,trimmed_mean,3,0.175986
native_leave_one_speaker_out,2,jvs003,18,nearest,3,0.162674
native_leave_one_speaker_out,2,jvs003,18,top_k_mean,3,0.164907
wrong_target,2,jvs005_other_sentence,18,median,3,0.441862
native_leave_one_speaker_out,2,jvs003,24,mean,3,0.248775
native_leave_one_speaker_out,2,jvs003,24,median,3,0.245204
native_leave_one_speaker_out,2,jvs003,24,trimmed_mean,3,0.248775
native_leave_one_speaker_out,2,jvs003,24,nearest,3,0.240719
native_leave_one_speaker_out,2,jvs003,24,top_k_mean,3,0.242961
wrong_target,2,jvs005_other_sentence,24,median,3,0.718715
native_leave_one_speaker_out,2,jvs004,6,mean,3,0.330028
native_leave_one_speaker_out,2,jvs004,6,median,3,0.339784
native_leave_one_speaker_out,2,jvs004,6,trimmed_mean,3,0.330028
native_leave_one_speaker_out,2,jvs004,6,nearest,3,0.299811
native_leave_one_speaker_out,2,jvs004,6,top_k_mean,3,0.319797
wrong_target,2,jvs005_other_sentence,6,median,3,0.544661
native_leave_one_speaker_out,2,jvs004,12,mean,3,0.248624
native_leave_one_speaker_out,2,jvs004,12,median,3,0.25735
native_leave_one_speaker_out,2,jvs004,12,trimmed_mean,3,0.248624
native_leave_one_speaker_out,2,jvs004,12,nearest,3,0.226367
native_leave_one_speaker_out,2,jvs004,12,top_k_mean,3,0.241858
wrong_target,2,jvs005_other_sentence,12,median,3,0.499968
native_leave_one_speaker_out,2,jvs004,18,mean,3,0.190077
native_leave_one_speaker_out,2,jvs004,18,median,3,0.198143
native_leave_one_speaker_out,2,jvs004,18,trimmed_mean,3,0.190077
native_leave_one_speaker_out,2,jvs004,18,nearest,3,0.172875
native_leave_one_speaker_out,2,jvs004,18,top_k_mean,3,0.185509
wrong_target,2,jvs005_other_sentence,18,median,3,0.430079
native_leave_one_speaker_out,2,jvs004,24,mean,3,0.252109
native_leave_one_speaker_out,2,jvs004,24,median,3,0.260404
native_leave_one_speaker_out,2,jvs004,24,trimmed_mean,3,0.252109
native_leave_one_speaker_out,2,jvs004,24,nearest,3,0.221948
native_leave_one_speaker_out,2,jvs004,24,top_k_mean,3,0.241176
wrong_target,2,jvs005_other_sentence,24,median,3,0.716949
native_leave_one_speaker_out,3,jvs001,6,mean,3,0.301252
native_leave_one_speaker_out,3,jvs001,6,median,3,0.289157
native_leave_one_speaker_out,3,jvs001,6,trimmed_mean,3,0.301252
native_leave_one_speaker_out,3,jvs001,6,nearest,3,0.25713
native_leave_one_speaker_out,3,jvs001,6,top_k_mean,3,0.273144
wrong_target,3,jvs005_other_sentence,6,median,3,0.545711
native_leave_one_speaker_out,3,jvs001,12,mean,3,0.221872
native_leave_one_speaker_out,3,jvs001,12,median,3,0.217387
native_leave_one_speaker_out,3,jvs001,12,trimmed_mean,3,0.221872
native_leave_one_speaker_out,3,jvs001,12,nearest,3,0.199485
native_leave_one_speaker_out,3,jvs001,12,top_k_mean,3,0.208436
wrong_target,3,jvs005_other_sentence,12,median,3,0.494971
native_leave_one_speaker_out,3,jvs001,18,mean,3,0.168096
native_leave_one_speaker_out,3,jvs001,18,median,3,0.162949
native_leave_one_speaker_out,3,jvs001,18,trimmed_mean,3,0.168096
native_leave_one_speaker_out,3,jvs001,18,nearest,3,0.151783
native_leave_one_speaker_out,3,jvs001,18,top_k_mean,3,0.157366
wrong_target,3,jvs005_other_sentence,18,median,3,0.433447
native_leave_one_speaker_out,3,jvs001,24,mean,3,0.213627
native_leave_one_speaker_out,3,jvs001,24,median,3,0.212277
native_leave_one_speaker_out,3,jvs001,24,trimmed_mean,3,0.213627
native_leave_one_speaker_out,3,jvs001,24,nearest,3,0.168034
native_leave_one_speaker_out,3,jvs001,24,top_k_mean,3,0.190156
wrong_target,3,jvs005_other_sentence,24,median,3,0.675234
native_leave_one_speaker_out,3,jvs002,6,mean,3,0.290361
native_leave_one_speaker_out,3,jvs002,6,median,3,0.289157
native_leave_one_speaker_out,3,jvs002,6,trimmed_mean,3,0.290361
native_leave_one_speaker_out,3,jvs002,6,nearest,3,0.281836
native_leave_one_speaker_out,3,jvs002,6,top_k_mean,3,0.285497
wrong_target,3,jvs005_other_sentence,6,median,3,0.529781
native_leave_one_speaker_out,3,jvs002,12,mean,3,0.215395
native_leave_one_speaker_out,3,jvs002,12,median,3,0.217387
native_leave_one_speaker_out,3,jvs002,12,trimmed_mean,3,0.215395
native_leave_one_speaker_out,3,jvs002,12,nearest,3,0.211182
native_leave_one_speaker_out,3,jvs002,12,top_k_mean,3,0.214285
wrong_target,3,jvs005_other_sentence,12,median,3,0.492812
native_leave_one_speaker_out,3,jvs002,18,mean,3,0.161433
native_leave_one_speaker_out,3,jvs002,18,median,3,0.162949
native_leave_one_speaker_out,3,jvs002,18,trimmed_mean,3,0.161433
native_leave_one_speaker_out,3,jvs002,18,nearest,3,0.154713
native_leave_one_speaker_out,3,jvs002,18,top_k_mean,3,0.158831
wrong_target,3,jvs005_other_sentence,18,median,3,0.430594
native_leave_one_speaker_out,3,jvs002,24,mean,3,0.19788
native_leave_one_speaker_out,3,jvs002,24,median,3,0.192066
native_leave_one_speaker_out,3,jvs002,24,trimmed_mean,3,0.19788
native_leave_one_speaker_out,3,jvs002,24,nearest,3,0.189298
native_leave_one_speaker_out,3,jvs002,24,top_k_mean,3,0.190682
wrong_target,3,jvs005_other_sentence,24,median,3,0.664561
native_leave_one_speaker_out,3,jvs003,6,mean,3,0.296454
native_leave_one_speaker_out,3,jvs003,6,median,3,0.281836
native_leave_one_speaker_out,3,jvs003,6,trimmed_mean,3,0.296454
native_leave_one_speaker_out,3,jvs003,6,nearest,3,0.25713
native_leave_one_speaker_out,3,jvs003,6,top_k_mean,3,0.269483
wrong_target,3,jvs005_other_sentence,6,median,3,0.545711
native_leave_one_speaker_out,3,jvs003,12,mean,3,0.220317
native_leave_one_speaker_out,3,jvs003,12,median,3,0.211182
native_leave_one_speaker_out,3,jvs003,12,trimmed_mean,3,0.220317
native_leave_one_speaker_out,3,jvs003,12,nearest,3,0.199485
native_leave_one_speaker_out,3,jvs003,12,top_k_mean,3,0.205333
wrong_target,3,jvs005_other_sentence,12,median,3,0.494971
native_leave_one_speaker_out,3,jvs003,18,mean,3,0.165867
native_leave_one_speaker_out,3,jvs003,18,median,3,0.154713
native_leave_one_speaker_out,3,jvs003,18,trimmed_mean,3,0.165867
native_leave_one_speaker_out,3,jvs003,18,nearest,3,0.151783
native_leave_one_speaker_out,3,jvs003,18,top_k_mean,3,0.153248
wrong_target,3,jvs005_other_sentence,18,median,3,0.433447
native_leave_one_speaker_out,3,jvs003,24,mean,3,0.199098
native_leave_one_speaker_out,3,jvs003,24,median,3,0.189298
native_leave_one_speaker_out,3,jvs003,24,trimmed_mean,3,0.199098
native_leave_one_speaker_out,3,jvs003,24,nearest,3,0.168034
native_leave_one_speaker_out,3,jvs003,24,top_k_mean,3,0.178666
wrong_target,3,jvs005_other_sentence,24,median,3,0.675234
native_leave_one_speaker_out,3,jvs004,6,mean,3,0.335985
native_leave_one_speaker_out,3,jvs004,6,median,3,0.350397
native_leave_one_speaker_out,3,jvs004,6,trimmed_mean,3,0.335985
native_leave_one_speaker_out,3,jvs004,6,nearest,3,0.300091
native_leave_one_speaker_out,3,jvs004,6,top_k_mean,3,0.325244
wrong_target,3,jvs005_other_sentence,6,median,3,0.529781
native_leave_one_speaker_out,3,jvs004,12,mean,3,0.238882
native_leave_one_speaker_out,3,jvs004,12,median,3,0.248745
native_leave_one_speaker_out,3,jvs004,12,trimmed_mean,3,0.238882
native_leave_one_speaker_out,3,jvs004,12,nearest,3,0.217615
native_leave_one_speaker_out,3,jvs004,12,top_k_mean,3,0.23318
wrong_target,3,jvs005_other_sentence,12,median,3,0.492812
native_leave_one_speaker_out,3,jvs004,18,mean,3,0.182432
native_leave_one_speaker_out,3,jvs004,18,median,3,0.189556
native_leave_one_speaker_out,3,jvs004,18,trimmed_mean,3,0.182432
native_leave_one_speaker_out,3,jvs004,18,nearest,3,0.166636
native_leave_one_speaker_out,3,jvs004,18,top_k_mean,3,0.178096
wrong_target,3,jvs005_other_sentence,18,median,3,0.430594
native_leave_one_speaker_out,3,jvs004,24,mean,3,0.230866
native_leave_one_speaker_out,3,jvs004,24,median,3,0.239963
native_leave_one_speaker_out,3,jvs004,24,trimmed_mean,3,0.230866
native_leave_one_speaker_out,3,jvs004,24,nearest,3,0.192066
native_leave_one_speaker_out,3,jvs004,24,top_k_mean,3,0.216014
wrong_target,3,jvs005_other_sentence,24,median,3,0.664561
native_leave_one_speaker_out,4,jvs001,6,mean,3,0.283784
native_leave_one_speaker_out,4,jvs001,6,median,3,0.283723
native_leave_one_speaker_out,4,jvs001,6,trimmed_mean,3,0.283784
native_leave_one_speaker_out,4,jvs001,6,nearest,3,0.238774
native_leave_one_speaker_out,4,jvs001,6,top_k_mean,3,0.261248
wrong_target,4,jvs005_other_sentence,6,median,3,0.567077
native_leave_one_speaker_out,4,jvs001,12,mean,3,0.208843
native_leave_one_speaker_out,4,jvs001,12,median,3,0.208847
native_leave_one_speaker_out,4,jvs001,12,trimmed_mean,3,0.208843
native_leave_one_speaker_out,4,jvs001,12,nearest,3,0.184534
native_leave_one_speaker_out,4,jvs001,12,top_k_mean,3,0.196691
wrong_target,4,jvs005_other_sentence,12,median,3,0.503793
native_leave_one_speaker_out,4,jvs001,18,mean,3,0.158016
native_leave_one_speaker_out,4,jvs001,18,median,3,0.155267
native_leave_one_speaker_out,4,jvs001,18,trimmed_mean,3,0.158016
native_leave_one_speaker_out,4,jvs001,18,nearest,3,0.142264
native_leave_one_speaker_out,4,jvs001,18,top_k_mean,3,0.148765
wrong_target,4,jvs005_other_sentence,18,median,3,0.434019
native_leave_one_speaker_out,4,jvs001,24,mean,3,0.195637
native_leave_one_speaker_out,4,jvs001,24,median,3,0.194288
native_leave_one_speaker_out,4,jvs001,24,trimmed_mean,3,0.195637
native_leave_one_speaker_out,4,jvs001,24,nearest,3,0.167584
native_leave_one_speaker_out,4,jvs001,24,top_k_mean,3,0.180936
wrong_target,4,jvs005_other_sentence,24,median,3,0.676088
native_leave_one_speaker_out,4,jvs002,6,mean,3,0.280706
native_leave_one_speaker_out,4,jvs002,6,median,3,0.283723
native_leave_one_speaker_out,4,jvs002,6,trimmed_mean,3,0.280706
native_leave_one_speaker_out,4,jvs002,6,nearest,3,0.271594
native_leave_one_speaker_out,4,jvs002,6,top_k_mean,3,0.277658
wrong_target,4,jvs005_other_sentence,6,median,3,0.555887
native_leave_one_speaker_out,4,jvs002,12,mean,3,0.207878
native_leave_one_speaker_out,4,jvs002,12,median,3,0.207618
native_leave_one_speaker_out,4,jvs002,12,trimmed_mean,3,0.207878
native_leave_one_speaker_out,4,jvs002,12,nearest,3,0.207169
native_leave_one_speaker_out,4,jvs002,12,top_k_mean,3,0.207393
wrong_target,4,jvs005_other_sentence,12,median,3,0.499354
native_leave_one_speaker_out,4,jvs002,18,mean,3,0.15798
native_leave_one_speaker_out,4,jvs002,18,median,3,0.157881
native_leave_one_speaker_out,4,jvs002,18,trimmed_mean,3,0.15798
native_leave_one_speaker_out,4,jvs002,18,nearest,3,0.155267
native_leave_one_speaker_out,4,jvs002,18,top_k_mean,3,0.156574
wrong_target,4,jvs005_other_sentence,18,median,3,0.438765
native_leave_one_speaker_out,4,jvs002,24,mean,3,0.189503
native_leave_one_speaker_out,4,jvs002,24,median,3,0.194288
native_leave_one_speaker_out,4,jvs002,24,trimmed_mean,3,0.189503
native_leave_one_speaker_out,4,jvs002,24,nearest,3,0.179122
native_leave_one_speaker_out,4,jvs002,24,top_k_mean,3,0.186705
wrong_target,4,jvs005_other_sentence,24,median,3,0.672396
native_leave_one_speaker_out,4,jvs003,6,mean,3,0.277119
native_leave_one_speaker_out,4,jvs003,6,median,3,0.271594
native_leave_one_speaker_out,4,jvs003,6,trimmed_mean,3,0.277119
native_leave_one_speaker_out,4,jvs003,6,nearest,3,0.238774
native_leave_one_speaker_out,4,jvs003,6,top_k_mean,3,0.255184
wrong_target,4,jvs005_other_sentence,6,median,3,0.567077
native_leave_one_speaker_out,4,jvs003,12,mean,3,0.209295
native_leave_one_speaker_out,4,jvs003,12,median,3,0.207618
native_leave_one_speaker_out,4,jvs003,12,trimmed_mean,3,0.209295
native_leave_one_speaker_out,4,jvs003,12,nearest,3,0.184534
native_leave_one_speaker_out,4,jvs003,12,top_k_mean,3,0.196076
wrong_target,4,jvs005_other_sentence,12,median,3,0.503793
native_leave_one_speaker_out,4,jvs003,18,mean,3,0.159424
native_leave_one_speaker_out,4,jvs003,18,median,3,0.157881
native_leave_one_speaker_out,4,jvs003,18,trimmed_mean,3,0.159424
native_leave_one_speaker_out,4,jvs003,18,nearest,3,0.142264
native_leave_one_speaker_out,4,jvs003,18,top_k_mean,3,0.150072
wrong_target,4,jvs005_other_sentence,18,median,3,0.438765
native_leave_one_speaker_out,4,jvs003,24,mean,3,0.194079
native_leave_one_speaker_out,4,jvs003,24,median,3,0.195099
native_leave_one_speaker_out,4,jvs003,24,trimmed_mean,3,0.194079
native_leave_one_speaker_out,4,jvs003,24,nearest,3,0.167584
native_leave_one_speaker_out,4,jvs003,24,top_k_mean,3,0.181342
wrong_target,4,jvs005_other_sentence,24,median,3,0.676088
native_leave_one_speaker_out,4,jvs004,6,mean,3,0.312216
native_leave_one_speaker_out,4,jvs004,6,median,3,0.32099
native_leave_one_speaker_out,4,jvs004,6,trimmed_mean,3,0.312216
native_leave_one_speaker_out,4,jvs004,6,nearest,3,0.286801
native_leave_one_speaker_out,4,jvs004,6,top_k_mean,3,0.303895
wrong_target,4,jvs005_other_sentence,6,median,3,0.555887
native_leave_one_speaker_out,4,jvs004,12,mean,3,0.22535
native_leave_one_speaker_out,4,jvs004,12,median,3,0.233149
native_leave_one_speaker_out,4,jvs004,12,trimmed_mean,3,0.22535
native_leave_one_speaker_out,4,jvs004,12,nearest,3,0.207169
native_leave_one_speaker_out,4,jvs004,12,top_k_mean,3,0.220159
wrong_target,4,jvs005_other_sentence,12,median,3,0.499354
native_leave_one_speaker_out,4,jvs004,18,mean,3,0.171812
native_leave_one_speaker_out,4,jvs004,18,median,3,0.176517
native_leave_one_speaker_out,4,jvs004,18,trimmed_mean,3,0.171812
native_leave_one_speaker_out,4,jvs004,18,nearest,3,0.160791
native_leave_one_speaker_out,4,jvs004,18,top_k_mean,3,0.168654
wrong_target,4,jvs005_other_sentence,18,median,3,0.434019
native_leave_one_speaker_out,4,jvs004,24,mean,3,0.207905
native_leave_one_speaker_out,4,jvs004,24,median,3,0.219555
native_leave_one_speaker_out,4,jvs004,24,trimmed_mean,3,0.207905
native_leave_one_speaker_out,4,jvs004,24,nearest,3,0.179122
native_leave_one_speaker_out,4,jvs004,24,top_k_mean,3,0.199338
wrong_target,4,jvs005_other_sentence,24,median,3,0.672396
native_leave_one_speaker_out,5,jvs001,6,mean,3,0.303529
native_leave_one_speaker_out,5,jvs001,6,median,3,0.289957
native_leave_one_speaker_out,5,jvs001,6,trimmed_mean,3,0.303529
native_leave_one_speaker_out,5,jvs001,6,nearest,3,0.265904
native_leave_one_speaker_out,5,jvs001,6,top_k_mean,3,0.277931
wrong_target,5,jvs005_other_sentence,6,median,3,0.590934
native_leave_one_speaker_out,5,jvs001,12,mean,3,0.228718
native_leave_one_speaker_out,5,jvs001,12,median,3,0.221657
native_leave_one_speaker_out,5,jvs001,12,trimmed_mean,3,0.228718
native_leave_one_speaker_out,5,jvs001,12,nearest,3,0.205868
native_leave_one_speaker_out,5,jvs001,12,top_k_mean,3,0.213762
wrong_target,5,jvs005_other_sentence,12,median,3,0.535616
native_leave_one_speaker_out,5,jvs001,18,mean,3,0.171962
native_leave_one_speaker_out,5,jvs001,18,median,3,0.162829
native_leave_one_speaker_out,5,jvs001,18,trimmed_mean,3,0.171962
native_leave_one_speaker_out,5,jvs001,18,nearest,3,0.156086
native_leave_one_speaker_out,5,jvs001,18,top_k_mean,3,0.159457
wrong_target,5,jvs005_other_sentence,18,median,3,0.449158
native_leave_one_speaker_out,5,jvs001,24,mean,3,0.228602
native_leave_one_speaker_out,5,jvs001,24,median,3,0.220178
native_leave_one_speaker_out,5,jvs001,24,trimmed_mean,3,0.228602
native_leave_one_speaker_out,5,jvs001,24,nearest,3,0.198182
native_leave_one_speaker_out,5,jvs001,24,top_k_mean,3,0.20918
wrong_target,5,jvs005_other_sentence,24,median,3,0.757258
native_leave_one_speaker_out,5,jvs002,6,mean,3,0.295178
native_leave_one_speaker_out,5,jvs002,6,median,3,0.289957
native_leave_one_speaker_out,5,jvs002,6,trimmed_mean,3,0.295178
native_leave_one_speaker_out,5,jvs002,6,nearest,3,0.28965
native_leave_one_speaker_out,5,jvs002,6,top_k_mean,3,0.289804
wrong_target,5,jvs005_other_sentence,6,median,3,0.578003
native_leave_one_speaker_out,5,jvs002,12,mean,3,0.219807
native_leave_one_speaker_out,5,jvs002,12,median,3,0.220461
native_leave_one_speaker_out,5,jvs002,12,trimmed_mean,3,0.219807
native_leave_one_speaker_out,5,jvs002,12,nearest,3,0.217303
native_leave_one_speaker_out,5,jvs002,12,top_k_mean,3,0.218882
wrong_target,5,jvs005_other_sentence,12,median,3,0.548254
